Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63
qc_output | SRR8668759 - polya	(1, 0.013054580166580199)	(2, 0.014632399927720828)	(3, 0.01559036192555621)	(4, 0.017431151646886942)	(5, 0.01848303148764736)	(6, 0.019478560622652758)	(7, 0.021131514658133416)	(8, 0.023592162142769397)	(9, 0.02691685378231572)	(10, 0.030711134636487232)	(11, 0.03193206659451272)	(12, 0.03334083423838828)	(13, 0.034956221136698926)	(14, 0.03651525732925454)	(15, 0.03805550995322516)	(16, 0.03976481469446084)	(17, 0.041211149475506414)	(18, 0.04233816359060686)	(19, 0.04355909554863235)	(20, 0.0449490796239229)	(21, 0.046958921462518705)	(22, 0.048593091929414356)	(23, 0.05000185957328992)	(24, 0.0514669779229205)	(25, 0.052612775606605953)	(26, 0.05435964748501165)	(27, 0.05586233297181225)	(28, 0.05770312269314298)	(29, 0.0597505316689088)	(30, 0.0625117162509049)	(31, 0.06572370647894117)	(32, 0.06993122584198286)	(33, 0.07554751284890009)	(34, 0.08138920267883741)	(35, 0.08576577415914416)	(36, 0.09235880673248179)	(37, 0.10098046471300022)	(38, 0.10809943720671805)	(39, 0.11435436554552554)	(40, 0.11978281686659271)	(41, 0.12434722403274953)	(42, 0.1298132424909867)	(43, 0.13511020883195882)	(44, 0.1408767643875561)	(45, 0.1491603181335444)	(46, 0.15577213427546704)	(47, 0.16178287622266943)	(48, 0.16574620919410601)	(49, 0.16991616141997767)	(50, 0.1739921958029243)	(51, 0.178293633008891)	(52, 0.1830083087237279)	(53, 0.18783568585007482)	(54, 0.1928133315251018)	(55, 0.19794124574880884)	(56, 0.20203606370034047)	(57, 0.20727667933555755)	(58, 0.21184108650171438)	(59, 0.21762642562589668)	(60, 0.22559065870593986)	(61, 0.2372552547972295)	(62, 0.2542731679352463)	(63, 0.2864869880585341)	(64, 0.2864869880585341)
qc_output | SRR8668759 - polyg	(1, 2.3464246040705494)	(2, 5.69946064861165)	(3, 5.706617188242538)	(4, 5.708288925846603)	(5, 5.709472290667459)	(6, 5.7105241705082195)	(7, 5.712421310935305)	(8, 5.714581421322581)	(9, 5.716572479592592)	(10, 5.719333664174588)	(11, 5.720610946838368)	(12, 5.722376602285359)	(13, 5.7250438690244305)	(14, 5.728086807135202)	(15, 5.7289132841529415)	(16, 5.729326522661812)	(17, 5.730246917522478)	(18, 5.730716506737102)	(19, 5.731148528814558)	(20, 5.731674468734938)	(21, 5.732106490812393)	(22, 5.732857833555793)	(23, 5.7335340420248535)	(24, 5.734379302611179)	(25, 5.734848891825804)	(26, 5.73558145100062)	(27, 5.736539412998455)	(28, 5.737441024290535)	(29, 5.7383614191512)	(30, 5.739112761894601)	(31, 5.739920455343756)	(32, 5.740915984478762)	(33, 5.742230834279712)	(34, 5.743620818355002)	(35, 5.745067153136048)	(36, 5.746344435799829)	(37, 5.74724604709191)	(38, 5.748316710501254)	(39, 5.749669127439375)	(40, 5.750852492260231)	(41, 5.752411528452786)	(42, 5.753951781076757)	(43, 5.779666486469632)	(44, 5.7811316048192625)	(45, 5.783028745246348)	(46, 5.784362378615884)	(47, 5.785940198377024)	(48, 5.789753262799781)	(49, 5.8218355979429735)	(50, 5.839247966021276)	(51, 5.843737238913093)	(52, 5.871424219007394)	(53, 5.877810632326296)	(54, 5.879989526282157)	(55, 5.882187203806603)	(56, 5.884290963488124)	(57, 5.886845528815685)	(58, 5.88885537065428)	(59, 5.891428719550427)	(60, 5.894565575504123)	(61, 5.897157707968854)	(62, 5.899937676119435)	(63, 5.9031120992103014)	(64, 5.906324089438337)
qc_output | SRR8668759_filtered - polya	(1, 0.01550989109091328)	(2, 0.016559089605886826)	(3, 0.017266158170325518)	(4, 0.018680295299202905)	(5, 0.01950140718048655)	(6, 0.020299710398401203)	(7, 0.02150856955695768)	(8, 0.02365258391364275)	(9, 0.026480858171397524)	(10, 0.029696879706425133)	(11, 0.030837312874874637)	(12, 0.032411110647334956)	(13, 0.03382524777621234)	(14, 0.03535342822193468)	(15, 0.03690441733102601)	(16, 0.038843153717390166)	(17, 0.04030290817300554)	(18, 0.041374915351348074)	(19, 0.04260658317327354)	(20, 0.04415757228236487)	(21, 0.0463928212925259)	(22, 0.048217514362045105)	(23, 0.049791312134505425)	(24, 0.05143353589707271)	(25, 0.05282486436258111)	(26, 0.05480921807568325)	(27, 0.0565426764917265)	(28, 0.05845860421472167)	(29, 0.06028329728424088)	(30, 0.06226765099734302)	(31, 0.06379583144306536)	(32, 0.06516435124520477)	(33, 0.06696623565135498)	(34, 0.06913305867140905)	(35, 0.07125426436472512)	(36, 0.07287367946392342)	(37, 0.0747896071869186)	(38, 0.0763634049593789)	(39, 0.07759507278130438)	(40, 0.0798303217914654)	(41, 0.08117603293023583)	(42, 0.08366217723745575)	(43, 0.08548687030697495)	(44, 0.08731156337649416)	(45, 0.08952400372328621)	(46, 0.09137150545617441)	(47, 0.09335585916927655)	(48, 0.09476999629815394)	(49, 0.09602447278344839)	(50, 0.09727894926874285)	(51, 0.09862466040751326)	(52, 0.10026688417008055)	(53, 0.101544169318744)	(54, 0.1036425663486911)	(55, 0.10544445075484131)	(56, 0.10660769258665981)	(57, 0.10831834233933406)	(58, 0.10925349753746266)	(59, 0.11018865273559125)	(60, 0.11107819060698187)	(61, 0.1126291797160732)	(62, 0.1139976995182126)	(63, 0.11488723738960321)	(64, 0.11488723738960321)
qc_output | SRR8668759_filtered - polyg	(1, 0.024907060398937208)	(2, 0.8563740748521029)	(3, 0.8579250639611943)	(4, 0.858426854555312)	(5, 0.858540897872157)	(6, 0.8588374104959539)	(7, 0.8592707750999646)	(8, 0.8600006523277723)	(9, 0.8605708689119971)	(10, 0.8613463634665428)	(11, 0.8616200674269706)	(12, 0.8620306233676125)	(13, 0.8627148832686822)	(14, 0.8637868904470247)	(15, 0.8640149770807146)	(16, 0.8642202550510355)	(17, 0.8646308109916774)	(18, 0.8648360889619983)	(19, 0.8649273236154742)	(20, 0.8651326015857951)	(21, 0.865269453566009)	(22, 0.865520348863068)	(23, 0.8658168614868649)	(24, 0.8662958434176137)	(25, 0.8665239300513036)	(26, 0.8667520166849935)	(27, 0.8670485293087903)	(28, 0.8673678505959561)	(29, 0.867755597873229)	(30, 0.8679608758435499)	(31, 0.8681889624772398)	(32, 0.8685539010911436)	(33, 0.8690100743585234)	(34, 0.8696030996061171)	(35, 0.8699224208932831)	(36, 0.8704470201507698)	(37, 0.8706522981210907)	(38, 0.8709716194082566)	(39, 0.8714962186657433)	(40, 0.8720208179232302)	(41, 0.8725682258440859)	(42, 0.8730015904480967)	(43, 0.8735718070323215)	(44, 0.8740507889630703)	(45, 0.8744385362403431)	(46, 0.87473504886414)	(47, 0.8751456048047818)	(48, 0.8755333520820546)	(49, 0.8760579513395413)	(50, 0.8766281679237662)	(51, 0.8776317491120017)	(52, 0.8780879223793815)	(53, 0.8789318429240341)	(54, 0.8793652075280449)	(55, 0.8797301461419488)	(56, 0.8800722760924836)	(57, 0.8803459800529115)	(58, 0.8805512580232324)	(59, 0.8807337273301844)	(60, 0.8808249619836603)	(61, 0.8809618139638743)	(62, 0.8809846226272433)	(63, 0.8809846226272433)	(64, 0.8809846226272433)
qc_output | SRR8668769 - polya	(1, 0.0037102845182399795)	(2, 0.006252418263079268)	(3, 0.007782366869113597)	(4, 0.011389735288334623)	(5, 0.01305761268686858)	(6, 0.014679867484806507)	(7, 0.016694688846012603)	(8, 0.020517438379675356)	(9, 0.026701953237216344)	(10, 0.03266153806391179)	(11, 0.03460951701029114)	(12, 0.03681425570886211)	(13, 0.0394338417756435)	(14, 0.04261787490096182)	(15, 0.04461572041078335)	(16, 0.04695838790185394)	(17, 0.04877056003715674)	(18, 0.050592281088863364)	(19, 0.0523906603449162)	(20, 0.0541253801582769)	(21, 0.05641818108590532)	(22, 0.05848499099197666)	(23, 0.06094648944273924)	(24, 0.06314167922490639)	(25, 0.06530503928572748)	(26, 0.06839888820056526)	(27, 0.07097603463888523)	(28, 0.07406033463731922)	(29, 0.07677965383098494)	(30, 0.07983106311736132)	(31, 0.08302782813121806)	(32, 0.0853567027430387)	(33, 0.08767708942916705)	(34, 0.09014495382419885)	(35, 0.09238046125340435)	(36, 0.09420430428653404)	(37, 0.09619153988924022)	(38, 0.09819256837119635)	(39, 0.09993683710096087)	(40, 0.10228693152701221)	(41, 0.10433570459098744)	(42, 0.10692770489926891)	(43, 0.10943800892276212)	(44, 0.11215308415358172)	(45, 0.11469627888913254)	(46, 0.11701242161241475)	(47, 0.11935721108490842)	(48, 0.12134656866903766)	(49, 0.12306643461243685)	(50, 0.12489876557125883)	(51, 0.12650510550852373)	(52, 0.12832364358809573)	(53, 0.13035968476353255)	(54, 0.13254108166644973)	(55, 0.1346439652567133)	(56, 0.1364115757821316)	(57, 0.1383192370814726)	(58, 0.13988101540885298)	(59, 0.14130274296231068)	(60, 0.14277752005134517)	(61, 0.14427988289887955)	(62, 0.1461376776347784)	(63, 0.14756683212321683)	(64, 0.14756683212321683)
qc_output | SRR8668769_filtered - polya	(1, 0.0032426241580257044)	(2, 0.004707138292555077)	(3, 0.005677792234595666)	(4, 0.00791029630128902)	(5, 0.008973749026799425)	(6, 0.010089467733804322)	(7, 0.01148038283316798)	(8, 0.014094748560576202)	(9, 0.018642955603280678)	(10, 0.023062097671274262)	(11, 0.024496745530663923)	(12, 0.026226856183400007)	(13, 0.02845082702862487)	(14, 0.031231590574668625)	(15, 0.03297770101765812)	(16, 0.03507367354085566)	(17, 0.03669711892523564)	(18, 0.03836429706964162)	(19, 0.04004640835161745)	(20, 0.041674120346731666)	(21, 0.04386502495876614)	(22, 0.04583299915993635)	(23, 0.04820630138085977)	(24, 0.05033320683188057)	(25, 0.052453712366800014)	(26, 0.05547873937737926)	(27, 0.05800243962668479)	(28, 0.06102853328994759)	(29, 0.06368556512469827)	(30, 0.06665619284841588)	(31, 0.06980281826492109)	(32, 0.07207905509164045)	(33, 0.07435315861299269)	(34, 0.07678192677346128)	(35, 0.07897603134354644)	(36, 0.08075840797777702)	(37, 0.08270078251454176)	(38, 0.08465062362009142)	(39, 0.08634660138695355)	(40, 0.08864737122539482)	(41, 0.09063987843828693)	(42, 0.0931763785197952)	(43, 0.09563821291345417)	(44, 0.09829417809552128)	(45, 0.10077627889016794)	(46, 0.10304398249541881)	(47, 0.10533515245970802)	(48, 0.10726259385890291)	(49, 0.10892337208720752)	(50, 0.11069934880533673)	(51, 0.11221932887941127)	(52, 0.11397930580728707)	(53, 0.1159355468289381)	(54, 0.11801658621456579)	(55, 0.12004002635528116)	(56, 0.12171253776310495)	(57, 0.12351091418758894)	(58, 0.12495622857381422)	(59, 0.1262479449736067)	(60, 0.12754286133144985)	(61, 0.1289177766405601)	(62, 0.13063722076646056)	(63, 0.13190653745989825)	(64, 0.13190653745989825)
qc_output | SRR8668771 - polya	(1, 0.002611872205360757)	(2, 0.00587089278245974)	(3, 0.007941146806197856)	(4, 0.012717939823488652)	(5, 0.014764915128818919)	(6, 0.016774644484696625)	(7, 0.019346166911483775)	(8, 0.024046916115308927)	(9, 0.03191201910804114)	(10, 0.039356553254871536)	(11, 0.04171701530142751)	(12, 0.04450115002300636)	(13, 0.047663951897352896)	(14, 0.05132957408930899)	(15, 0.053842123762796255)	(16, 0.05672558101624859)	(17, 0.058955682239720614)	(18, 0.06124010047281095)	(19, 0.0634795131836461)	(20, 0.06590981138542563)	(21, 0.06869704993612552)	(22, 0.07136634298022565)	(23, 0.07421565811334647)	(24, 0.07687719158464397)	(25, 0.07986462711365137)	(26, 0.08406100408530645)	(27, 0.08794699814485685)	(28, 0.09237616230059043)	(29, 0.09607127086919647)	(30, 0.10039024909113288)	(31, 0.1042638278341991)	(32, 0.10728850931265906)	(33, 0.11042027289579513)	(34, 0.1139244959734568)	(35, 0.11751407435194725)	(36, 0.12014922527571585)	(37, 0.12276109748107661)	(38, 0.12549712285127923)	(39, 0.12806554144894533)	(40, 0.1312500701271392)	(41, 0.13393953806052614)	(42, 0.13719390289394354)	(43, 0.14036601625565323)	(44, 0.14398973675447518)	(45, 0.1474691291991685)	(46, 0.15086006251391196)	(47, 0.1540507988503479)	(48, 0.15679303187879262)	(49, 0.15907745011188296)	(50, 0.161476710022452)	(51, 0.16355472361899276)	(52, 0.1657615461240569)	(53, 0.16815770220550494)	(54, 0.1710101211677468)	(55, 0.173851676728065)	(56, 0.17628973450264715)	(57, 0.17881780332173966)	(58, 0.18091288797844615)	(59, 0.18290865010327914)	(60, 0.18489975648443058)	(61, 0.18699484114113704)	(62, 0.1892808112887879)	(63, 0.19116017982158165)	(64, 0.19116017982158165)
qc_output | SRR8668771_filtered - polya	(1, 0.0019672253092920112)	(2, 0.003864303915796272)	(3, 0.005206444162468555)	(4, 0.00821028185740176)	(5, 0.009500981188696361)	(6, 0.010882091825806283)	(7, 0.012617053608089967)	(8, 0.01593421324214179)	(9, 0.02181562456699025)	(10, 0.027453860655507843)	(11, 0.029305733609104444)	(12, 0.03153016349528487)	(13, 0.03420664991054191)	(14, 0.03753472125391627)	(15, 0.0397326512745991)	(16, 0.042331196908980864)	(17, 0.04438103944600067)	(18, 0.046477646451545646)	(19, 0.048568018194620595)	(20, 0.050881300570998836)	(21, 0.053551551723785853)	(22, 0.056128273939522536)	(23, 0.058907642185534945)	(24, 0.06151865834485675)	(25, 0.0644507905213847)	(26, 0.06858165190777442)	(27, 0.07241322069560308)	(28, 0.07679037494955868)	(29, 0.08046606217563677)	(30, 0.0847387757832195)	(31, 0.08857190338666567)	(32, 0.09155391766295379)	(33, 0.09465128429493733)	(34, 0.09812744312197472)	(35, 0.10169245443920992)	(36, 0.10428476481112166)	(37, 0.1068505753175358)	(38, 0.10955823804514296)	(39, 0.11207572526741442)	(40, 0.1152136211054531)	(41, 0.11786516647083006)	(42, 0.12108412072097903)	(43, 0.12422045774340021)	(44, 0.12781508655736804)	(45, 0.13124448091588026)	(46, 0.13458034633734214)	(47, 0.13772291862223335)	(48, 0.14041499319366543)	(49, 0.1426503347891684)	(50, 0.14497452887486917)	(51, 0.14700878325571393)	(52, 0.14914591946731404)	(53, 0.15147634881548486)	(54, 0.15425259943026223)	(55, 0.15703040886065714)	(56, 0.15936239702444546)	(57, 0.1618097375439292)	(58, 0.16377228640636868)	(59, 0.16561013001940772)	(60, 0.16743862073874174)	(61, 0.16937778736691864)	(62, 0.17151024713166624)	(63, 0.1732374148358624)	(64, 0.1732374148358624)
qc_output | SRR8668772 - polya	(1, 0.004873870022642742)	(2, 0.009658270869425957)	(3, 0.012618087211795217)	(4, 0.018958665035413807)	(5, 0.021604605908374236)	(6, 0.024162544313276114)	(7, 0.027446503079661035)	(8, 0.03397921962520746)	(9, 0.04496779447011851)	(10, 0.05526114981736701)	(11, 0.058325102413605556)	(12, 0.06213120915713788)	(13, 0.06663400210613374)	(14, 0.07161934192165063)	(15, 0.07497223595468143)	(16, 0.07910541853783136)	(17, 0.08240257767442508)	(18, 0.0856073342195573)	(19, 0.08893382751217052)	(20, 0.09233218948703156)	(21, 0.09656070807724493)	(22, 0.1007408253100261)	(23, 0.1062307126090787)	(24, 0.1113377891720766)	(25, 0.11633339594220034)	(26, 0.1241142808263772)	(27, 0.1304665923124036)	(28, 0.13821080950155606)	(29, 0.14439591629827123)	(30, 0.15107530362391525)	(31, 0.15955287471355564)	(32, 0.16399699935051246)	(33, 0.16907327504968986)	(34, 0.17415541758007116)	(35, 0.17949423397562325)	(36, 0.18330620755035948)	(37, 0.18722085067116404)	(38, 0.19119562881180857)	(39, 0.1948447978206365)	(40, 0.19984187129856118)	(41, 0.20395451997249747)	(42, 0.20892812612560657)	(43, 0.21344558615261217)	(44, 0.21835465716247834)	(45, 0.22318599265889277)	(46, 0.22766825169867497)	(47, 0.23309360385448463)	(48, 0.23777680186300051)	(49, 0.24161077605475137)	(50, 0.24524527798556953)	(51, 0.24862163934341594)	(52, 0.2520860031693209)	(53, 0.25548729855978386)	(54, 0.25960141394152114)	(55, 0.2638798005969677)	(56, 0.26752456948239267)	(57, 0.2716430849875328)	(58, 0.27492117692271384)	(59, 0.27808193223381683)	(60, 0.2811634853236671)	(61, 0.2843183738035661)	(62, 0.2877798042138691)	(63, 0.2905680157435242)	(64, 0.2905680157435242)
qc_output | SRR8668772_filtered - polya	(1, 0.003808528551163287)	(2, 0.006542818905795434)	(3, 0.008368138478747384)	(4, 0.012210605874031848)	(5, 0.013985754981761191)	(6, 0.01569745320700312)	(7, 0.017990538588059976)	(8, 0.022708037920903458)	(9, 0.03080171444284481)	(10, 0.038411393535579826)	(11, 0.04075907618761423)	(12, 0.04372798724725798)	(13, 0.04746716250826061)	(14, 0.051799529740424656)	(15, 0.054687282694561246)	(16, 0.05837186068458633)	(17, 0.0613673325787597)	(18, 0.06425065872714136)	(19, 0.06733023993065851)	(20, 0.07054410090874207)	(21, 0.07453265289393941)	(22, 0.07850940006379027)	(23, 0.08381271335820362)	(24, 0.08875745538646715)	(25, 0.09362546611497846)	(26, 0.10127793766334452)	(27, 0.10751825817588599)	(28, 0.11513088847245763)	(29, 0.12119708795863829)	(30, 0.12774285806827035)	(31, 0.1361316549738741)	(32, 0.14046107100220154)	(33, 0.14541761784581156)	(34, 0.15037121348558496)	(35, 0.15556975904379816)	(36, 0.15928237347027116)	(37, 0.16306729239074144)	(38, 0.16693189381480059)	(39, 0.1704467775842198)	(40, 0.17529560548779305)	(41, 0.17929301108450027)	(42, 0.18411822935738054)	(43, 0.18850814506435876)	(44, 0.1932477784259769)	(45, 0.19797708257416688)	(46, 0.20235666906771693)	(47, 0.20762456791609077)	(48, 0.2121620438149002)	(49, 0.21583039018382386)	(50, 0.21932461552638668)	(51, 0.2225370009025519)	(52, 0.2258172639669595)	(53, 0.22905030776998112)	(54, 0.23297393327077273)	(55, 0.23707020419600686)	(56, 0.24049507624840902)	(57, 0.24438033609932452)	(58, 0.24740236882802752)	(59, 0.25024880492845136)	(60, 0.2530613021847541)	(61, 0.25588855546023986)	(62, 0.2590286363424078)	(63, 0.26154748881696643)	(64, 0.26154748881696643)
qc_output | SRR8668773 - polya	(1, 0.004885673036041963)	(2, 0.009029706906916983)	(3, 0.011790490851237859)	(4, 0.017827919507943706)	(5, 0.020267183582972553)	(6, 0.02273502720193847)	(7, 0.02589449578418146)	(8, 0.03169042729461907)	(9, 0.041959057431208)	(10, 0.051694679073370595)	(11, 0.05449404540200651)	(12, 0.05786357363218696)	(13, 0.062053334773361286)	(14, 0.0671647862065061)	(15, 0.07039284569419806)	(16, 0.0742968113960017)	(17, 0.07737482827802403)	(18, 0.08034281391588866)	(19, 0.083586592152746)	(20, 0.0866231686960596)	(21, 0.09039709747294956)	(22, 0.09410529329878428)	(23, 0.09839651182093521)	(24, 0.10259770477968437)	(25, 0.10682319035078003)	(26, 0.11353795419879442)	(27, 0.11914097378765681)	(28, 0.12531987118685115)	(29, 0.1307614163524691)	(30, 0.13641873707481195)	(31, 0.14213321688502892)	(32, 0.14624867121196686)	(33, 0.15076852608561433)	(34, 0.15509832699208032)	(35, 0.15970106254314528)	(36, 0.1631177470208219)	(37, 0.16671448262530206)	(38, 0.17031121822978218)	(39, 0.17356357032982064)	(40, 0.17798768373127896)	(41, 0.18147010116001083)	(42, 0.18626146170106045)	(43, 0.19067271430774707)	(44, 0.1955040862103086)	(45, 0.19998107176805047)	(46, 0.20432373346928812)	(47, 0.2086378156265887)	(48, 0.21238030690514792)	(49, 0.21559979252965875)	(50, 0.21898218155461088)	(51, 0.22190443992217618)	(52, 0.2250539056640412)	(53, 0.22828482310612686)	(54, 0.23213877460604063)	(55, 0.2359312800864897)	(56, 0.23926937081833938)	(57, 0.2428946859667566)	(58, 0.24587124546780234)	(59, 0.24849770555561898)	(60, 0.25120561734365626)	(61, 0.2540449950338041)	(62, 0.2573387874725513)	(63, 0.25991094642688756)	(64, 0.25991094642688756)
qc_output | SRR8668773_filtered - polya	(1, 0.003922285096842125)	(2, 0.006337768587566014)	(3, 0.008070302877043566)	(4, 0.011876127162725788)	(5, 0.013457693734033096)	(6, 0.01517728793338177)	(7, 0.017377103255291026)	(8, 0.021398595709787884)	(9, 0.02916696315049096)	(10, 0.03634727538422614)	(11, 0.03845651007523325)	(12, 0.04115379997320826)	(13, 0.04462461970333176)	(14, 0.04916227797519163)	(15, 0.05199903328900011)	(16, 0.055413779295231794)	(17, 0.05816570512930651)	(18, 0.060822736969102786)	(19, 0.06382915124237877)	(20, 0.06662852407359271)	(21, 0.07018848664682625)	(22, 0.07372688240317833)	(23, 0.07786627345662718)	(24, 0.08191795945475809)	(25, 0.08600271457210723)	(26, 0.09257484256978515)	(27, 0.09805137626988474)	(28, 0.10414328314500207)	(29, 0.1094688491269314)	(30, 0.11497557637066502)	(31, 0.12056569530634031)	(32, 0.12456562094395571)	(33, 0.1289695649511505)	(34, 0.13317221866745166)	(35, 0.13765236542762763)	(36, 0.14093914832036264)	(37, 0.14441428141386242)	(38, 0.1478980412341148)	(39, 0.15099216056270873)	(40, 0.15526957924419896)	(41, 0.15861531143640997)	(42, 0.16327086830722184)	(43, 0.16755260035208835)	(44, 0.1722369129787422)	(45, 0.17659484777658987)	(46, 0.1807946259173068)	(47, 0.1849613349388055)	(48, 0.1885572422068415)	(49, 0.19160103896271202)	(50, 0.19482887255597103)	(51, 0.1975937384801746)	(52, 0.20057714814877706)	(53, 0.20362813384360806)	(54, 0.20729305492566472)	(55, 0.21090765343499795)	(56, 0.2140635976386521)	(57, 0.21743233443553667)	(58, 0.22014687778701683)	(59, 0.22251203870501732)	(60, 0.22491745768119653)	(61, 0.22742927295399096)	(62, 0.23041124483480127)	(63, 0.23272176981670203)	(64, 0.23272176981670203)
qc_output | SRR8668774 - polya	(1, 0.004932230227060868)	(2, 0.010997246572542311)	(3, 0.014259160802355631)	(4, 0.022034976566920963)	(5, 0.02512596079342529)	(6, 0.02818021006307812)	(7, 0.031785483685503366)	(8, 0.03858444947501773)	(9, 0.05092739497711989)	(10, 0.06203034826223487)	(11, 0.06546094341636628)	(12, 0.069372091781555)	(13, 0.07413938954928262)	(14, 0.0797253520697007)	(15, 0.08383741815807717)	(16, 0.08841654298356552)	(17, 0.0923771710865542)	(18, 0.09630256361868533)	(19, 0.1000000494797378)	(20, 0.10428754372940509)	(21, 0.10924826229035078)	(22, 0.11472476963321135)	(23, 0.12097945830692602)	(24, 0.12678433118245913)	(25, 0.1329265659066284)	(26, 0.14284425456353497)	(27, 0.1497174399597493)	(28, 0.15801504205020522)	(29, 0.16376068917897776)	(30, 0.16967426753907142)	(31, 0.17573628511256498)	(32, 0.18031690932404726)	(33, 0.18569220811231696)	(34, 0.19136888348536832)	(35, 0.19672019209773503)	(36, 0.20101143481238715)	(37, 0.20563329213870274)	(38, 0.21008871761969114)	(39, 0.21423976774391004)	(40, 0.21976350574557965)	(41, 0.2243351336410983)	(42, 0.23004554519901327)	(43, 0.2348495779235924)	(44, 0.2400959295163834)	(45, 0.24495468982974128)	(46, 0.2500953347099596)	(47, 0.25490386559252054)	(48, 0.2588187624226941)	(49, 0.26250950104677384)	(50, 0.2663336850243141)	(51, 0.2698467464081121)	(52, 0.2736281978848252)	(53, 0.27751085791612906)	(54, 0.2819962711169962)	(55, 0.2864307051940695)	(56, 0.2900929554842644)	(57, 0.29452439078934983)	(58, 0.29794898839950545)	(59, 0.30129186947299147)	(60, 0.3044690683941473)	(61, 0.30786292859142717)	(62, 0.3117418401577462)	(63, 0.3151679371538958)	(64, 0.3151679371538958)
qc_output | SRR8668774_filtered - polya	(1, 0.0037479671902506985)	(2, 0.007222685082993871)	(3, 0.009221396236672515)	(4, 0.013686259055777228)	(5, 0.015648127607544745)	(6, 0.01754245138914186)	(7, 0.019941825838604012)	(8, 0.024471163211053196)	(9, 0.03335023027163483)	(10, 0.04135735575365311)	(11, 0.04392098680330237)	(12, 0.04696126901517683)	(13, 0.05082743955322573)	(14, 0.055614675139052806)	(15, 0.059100906344893206)	(16, 0.06313133348312922)	(17, 0.0667027632058891)	(18, 0.07028033336230083)	(19, 0.07371513843630695)	(20, 0.07779161882693186)	(21, 0.08256196822021633)	(22, 0.08786730289541864)	(23, 0.09398163970425277)	(24, 0.0996991509883358)	(25, 0.10579046117097547)	(26, 0.1156865375551455)	(27, 0.12254770460688644)	(28, 0.13085110601260672)	(29, 0.13659241147709067)	(30, 0.14251409218009786)	(31, 0.1485862135075755)	(32, 0.1531539285903488)	(33, 0.15852373781889556)	(34, 0.16420056873003505)	(35, 0.16955195665762626)	(36, 0.17384565488868553)	(37, 0.17844023436868567)	(38, 0.18287593012794406)	(39, 0.18700537175881624)	(40, 0.19254097269596307)	(41, 0.1971071526703234)	(42, 0.2028131506413092)	(43, 0.20761420220285295)	(44, 0.21287732139669874)	(45, 0.21769295648816564)	(46, 0.22282021858746415)	(47, 0.22760822172749773)	(48, 0.231500489108567)	(49, 0.23516325778189823)	(50, 0.23895727822453783)	(51, 0.24240973704529303)	(52, 0.2461331425009363)	(53, 0.24994558424453148)	(54, 0.2543505778355306)	(55, 0.2586987724152501)	(56, 0.26226636436697753)	(57, 0.2665477817307331)	(58, 0.2697945360241512)	(59, 0.2729123412108803)	(60, 0.2758090907861427)	(61, 0.27891307999715514)	(62, 0.2825113741171419)	(63, 0.2855800558346562)	(64, 0.2855800558346562)
