Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33
qc_output | SRR8668769	(2.0, 8771.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 1.0)	(15.0, 7.0)	(16.0, 133.0)	(17.0, 985.0)	(18.0, 2508.0)	(19.0, 4032.0)	(20.0, 9621.0)	(21.0, 28276.0)	(22.0, 67368.0)	(23.0, 128766.0)	(24.0, 218765.0)	(25.0, 358097.0)	(26.0, 567045.0)	(27.0, 855096.0)	(28.0, 1216406.0)	(29.0, 1654377.0)	(30.0, 2180150.0)	(31.0, 2886944.0)	(32.0, 4039649.0)	(33.0, 6559091.0)	(34.0, 15793796.0)	(35.0, 57671648.0)
qc_output | SRR8668769_filtered	(20.0, 4.0)	(21.0, 14.0)	(22.0, 28.0)	(23.0, 393.0)	(24.0, 17154.0)	(25.0, 200785.0)	(26.0, 523526.0)	(27.0, 830956.0)	(28.0, 1202751.0)	(29.0, 1653907.0)	(30.0, 2190377.0)	(31.0, 2905329.0)	(32.0, 4064731.0)	(33.0, 6590181.0)	(34.0, 15845409.0)	(35.0, 57725682.0)	(36.0, 2.0)																	
qc_output | SRR8668771	(2.0, 4983.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 6.0)	(16.0, 64.0)	(17.0, 450.0)	(18.0, 1017.0)	(19.0, 1991.0)	(20.0, 4912.0)	(21.0, 14291.0)	(22.0, 34788.0)	(23.0, 71156.0)	(24.0, 130703.0)	(25.0, 226256.0)	(26.0, 370321.0)	(27.0, 568131.0)	(28.0, 817342.0)	(29.0, 1118335.0)	(30.0, 1481357.0)	(31.0, 1965793.0)	(32.0, 2757689.0)	(33.0, 4482112.0)	(34.0, 10957776.0)	(35.0, 39427064.0)
qc_output | SRR8668771_filtered	(20.0, 1.0)	(21.0, 3.0)	(22.0, 11.0)	(23.0, 175.0)	(24.0, 8883.0)	(25.0, 120413.0)	(26.0, 338551.0)	(27.0, 551126.0)	(28.0, 806842.0)	(29.0, 1117906.0)	(30.0, 1486588.0)	(31.0, 1978214.0)	(32.0, 2777153.0)	(33.0, 4508192.0)	(34.0, 10992344.0)	(35.0, 39464867.0)																		
qc_output | SRR8668772	(2.0, 7411.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 6.0)	(16.0, 114.0)	(17.0, 689.0)	(18.0, 2093.0)	(19.0, 4076.0)	(20.0, 9849.0)	(21.0, 28154.0)	(22.0, 63345.0)	(23.0, 110827.0)	(24.0, 168848.0)	(25.0, 254227.0)	(26.0, 383036.0)	(27.0, 569132.0)	(28.0, 806146.0)	(29.0, 1093643.0)	(30.0, 1440378.0)	(31.0, 1906886.0)	(32.0, 2667323.0)	(33.0, 4306348.0)	(34.0, 10447313.0)	(35.0, 43910062.0)
qc_output | SRR8668772_filtered	(19.0, 1.0)	(20.0, 1.0)	(21.0, 4.0)	(22.0, 21.0)	(23.0, 388.0)	(24.0, 13945.0)	(25.0, 139389.0)	(26.0, 351778.0)	(27.0, 551662.0)	(28.0, 794768.0)	(29.0, 1091182.0)	(30.0, 1445431.0)	(31.0, 1919593.0)	(32.0, 2688414.0)	(33.0, 4333081.0)	(34.0, 10481195.0)	(35.0, 43958101.0)	(36.0, 1.0)																
qc_output | SRR8668773	(2.0, 7751.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 1.0)	(15.0, 5.0)	(16.0, 103.0)	(17.0, 687.0)	(18.0, 2097.0)	(19.0, 4055.0)	(20.0, 9997.0)	(21.0, 29777.0)	(22.0, 67533.0)	(23.0, 115941.0)	(24.0, 172570.0)	(25.0, 254767.0)	(26.0, 386438.0)	(27.0, 577219.0)	(28.0, 819083.0)	(29.0, 1104243.0)	(30.0, 1453788.0)	(31.0, 1919188.0)	(32.0, 2669065.0)	(33.0, 4290573.0)	(34.0, 10452828.0)	(35.0, 45642414.0)
qc_output | SRR8668773_filtered	(21.0, 2.0)	(22.0, 16.0)	(23.0, 434.0)	(24.0, 14572.0)	(25.0, 141301.0)	(26.0, 355176.0)	(27.0, 560119.0)	(28.0, 809653.0)	(29.0, 1104115.0)	(30.0, 1461340.0)	(31.0, 1932509.0)	(32.0, 2688831.0)	(33.0, 4314730.0)	(34.0, 10481871.0)	(35.0, 45686623.0)	(36.0, 1.0)																		
qc_output | SRR8668774	(2.0, 130722.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 4.0)	(12.0, 29.0)	(13.0, 58.0)	(14.0, 25.0)	(15.0, 55.0)	(16.0, 590.0)	(17.0, 4069.0)	(18.0, 12050.0)	(19.0, 18990.0)	(20.0, 37922.0)	(21.0, 94494.0)	(22.0, 209674.0)	(23.0, 398373.0)	(24.0, 704110.0)	(25.0, 1174704.0)	(26.0, 1843602.0)	(27.0, 2714627.0)	(28.0, 3747926.0)	(29.0, 4906698.0)	(30.0, 6184043.0)	(31.0, 7695900.0)	(32.0, 9804098.0)	(33.0, 13533861.0)	(34.0, 22861670.0)	(35.0, 57309640.0)
qc_output | SRR8668774_filtered	(20.0, 5.0)	(21.0, 34.0)	(22.0, 67.0)	(23.0, 1238.0)	(24.0, 52381.0)	(25.0, 648091.0)	(26.0, 1694142.0)	(27.0, 2607193.0)	(28.0, 3671513.0)	(29.0, 4866334.0)	(30.0, 6172559.0)	(31.0, 7703092.0)	(32.0, 9805529.0)	(33.0, 13469175.0)	(34.0, 22680783.0)	(35.0, 56911822.0)																		
