Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
qc_output | SRR8668755	(0.0, 0.008474924240331179)	(1.0, 0.004537510642475179)	(2.0, 0.0005418231580549193)	(3.0, 0.0005604212069584062)	(4.0, 0.0006372931424261522)	(5.0, 0.0006806885898676218)	(6.0, 0.00074970801579834)	(7.0, 0.0008307128510224163)	(8.0, 0.0008935329273186389)	(9.0, 0.0010332249390826074)	(10.0, 0.0014498212345207147)	(11.0, 0.0020664498781652147)	(12.0, 0.0024123735877700715)	(13.0, 0.003038507900854132)	(14.0, 0.004856570503663888)	(15.0, 0.007038328285030721)	(16.0, 0.008991949999848115)	(17.0, 0.01289588710967784)	(18.0, 0.020964547303961738)	(19.0, 0.03095211285510985)	(20.0, 0.040003576611449126)	(21.0, 0.05676992434293041)	(22.0, 0.08894206920610902)	(23.0, 0.12845920351623805)	(24.0, 0.16321523730707443)	(25.0, 0.22853158505612053)	(26.0, 0.34252894574500714)	(27.0, 0.4593114675796849)	(28.0, 0.5484928316816854)	(29.0, 0.6896710341980303)	(30.0, 0.9077356373312685)	(31.0, 1.1161482663735725)	(32.0, 1.2638667827543102)	(33.0, 1.4313190688915747)	(34.0, 1.6672568103110394)	(35.0, 1.8959528847774618)	(36.0, 2.040108428278267)	(37.0, 2.171639616183386)	(38.0, 2.3441600772918383)	(39.0, 2.46625626834323)	(40.0, 2.5169628154536476)	(41.0, 2.644337546073825)	(42.0, 3.035033785318961)	(43.0, 3.141522907020522)	(44.0, 2.9272547856034485)	(45.0, 2.941281847376434)	(46.0, 3.011826726607214)	(47.0, 2.8587015507652445)	(48.0, 2.7514337907495907)	(49.0, 2.6656141273093894)	(50.0, 2.5813281829687624)	(51.0, 2.6303348684094017)	(52.0, 2.671785786515518)	(53.0, 2.6948167836976444)	(54.0, 2.6858178077682107)	(55.0, 2.8340446708189773)	(56.0, 2.9538553683051183)	(57.0, 2.8372150182220586)	(58.0, 2.6533369352932343)	(59.0, 2.5164499225938872)	(60.0, 2.423310893685225)	(61.0, 2.2937225819555573)	(62.0, 2.2513938359411965)	(63.0, 2.0981723635349048)	(64.0, 1.8913360224596651)	(65.0, 1.670189929268107)	(66.0, 1.3084120029079909)	(67.0, 1.2412184920896197)	(68.0, 1.2542218345929619)	(69.0, 1.0417002766129142)	(70.0, 0.7225073360520512)	(71.0, 0.6232383902247993)	(72.0, 0.6931844122808869)	(73.0, 0.6854591960563541)	(74.0, 0.588055427889134)	(75.0, 0.5219988777937292)	(76.0, 0.5802917756968674)	(77.0, 0.5164537661906606)	(78.0, 0.36060252966941575)	(79.0, 0.31668922988847803)	(80.0, 0.3285188288610226)	(81.0, 0.2763327036378383)	(82.0, 0.15871368289247934)	(83.0, 0.08123999722021162)	(84.0, 0.07187484637236687)	(85.0, 0.07593790012281532)	(86.0, 0.06545975937059079)	(87.0, 0.03977378738499716)	(88.0, 0.030781010805197774)	(89.0, 0.026828718768218986)	(90.0, 0.016629548749546752)	(91.0, 0.007474349209323582)	(92.0, 0.004838385744736034)	(93.0, 0.003995274194444626)	(94.0, 0.0026194318655622267)	(95.0, 0.0016663851817524291)	(96.0, 0.001308476062854214)	(97.0, 0.0011708505009684108)	(98.0, 0.0013035165831466176)	(99.0, 0.0019937108424537995)	(100.0, 0.0024483298156501463)
qc_output | SRR8668755_filtered	(0.0, 0.0006455889428073213)	(1.0, 0.0008538702084173952)	(2.0, 0.0011343445820277739)	(3.0, 0.0012297722535224292)	(4.0, 0.0012903480797755583)	(5.0, 0.0014185530819140304)	(6.0, 0.0015446835694547924)	(7.0, 0.0016845058533404397)	(8.0, 0.001970373964904864)	(9.0, 0.0023516697479639436)	(10.0, 0.0028769368441040905)	(11.0, 0.0036270813226359907)	(12.0, 0.004265616915811099)	(13.0, 0.005168860571653989)	(14.0, 0.007083222642420686)	(15.0, 0.009446094769212262)	(16.0, 0.011625579805566286)	(17.0, 0.015298715352271437)	(18.0, 0.022683987320118684)	(19.0, 0.03207075097183645)	(20.0, 0.04088038466247131)	(21.0, 0.05719104823550563)	(22.0, 0.0885622728849943)	(23.0, 0.12762579766279128)	(24.0, 0.16257763450792723)	(25.0, 0.22816548802912345)	(26.0, 0.34188456963470665)	(27.0, 0.458427065607773)	(28.0, 0.5479066888478746)	(29.0, 0.6892031228066546)	(30.0, 0.9066989673568365)	(31.0, 1.114667396165576)	(32.0, 1.263230439857214)	(33.0, 1.4311723542118995)	(34.0, 1.66670527338333)	(35.0, 1.895387730450203)	(36.0, 2.0404954626278955)	(37.0, 2.172621712258959)	(38.0, 2.3446657717791552)	(39.0, 2.466507407840612)	(40.0, 2.5180943623418646)	(41.0, 2.6469557408990516)	(42.0, 3.0397223449747086)	(43.0, 3.1465436655429064)	(44.0, 2.929105492498541)	(45.0, 2.9403784048224963)	(46.0, 3.0102086406960096)	(47.0, 2.857002418431777)	(48.0, 2.750315111506591)	(49.0, 2.6678104212469096)	(50.0, 2.585900286870932)	(51.0, 2.633225358582649)	(52.0, 2.6733182575038295)	(53.0, 2.6968872327513314)	(54.0, 2.6891932730113446)	(55.0, 2.838172879234203)	(56.0, 2.9561857911541263)	(57.0, 2.837566706068752)	(58.0, 2.6532921382862966)	(59.0, 2.5145552404381712)	(60.0, 2.4193005834609647)	(61.0, 2.2944629334174955)	(62.0, 2.256785599293888)	(63.0, 2.1026006210424564)	(64.0, 1.8908939169286436)	(65.0, 1.6670832499430328)	(66.0, 1.3075184221978837)	(67.0, 1.2407613722494182)	(68.0, 1.2526695009431927)	(69.0, 1.0396313733605698)	(70.0, 0.7202693938102799)	(71.0, 0.618076315309573)	(72.0, 0.6862303433881364)	(73.0, 0.6794541489061767)	(74.0, 0.5843716766405802)	(75.0, 0.5203123254749766)	(76.0, 0.5772212397251937)	(77.0, 0.5121628023293331)	(78.0, 0.3588109491403413)	(79.0, 0.31527269637528405)	(80.0, 0.32768327250462376)	(81.0, 0.27778414308006844)	(82.0, 0.16063547394155123)	(83.0, 0.0835465114906513)	(84.0, 0.07188359042232624)	(85.0, 0.07383155962957584)	(86.0, 0.06434272985965074)	(87.0, 0.040944279712080776)	(88.0, 0.03252009083370041)	(89.0, 0.02745869011820779)	(90.0, 0.01707035081871569)	(91.0, 0.008267355574793498)	(92.0, 0.0049734412965497165)	(93.0, 0.003181475587047904)	(94.0, 0.0017869868744673086)	(95.0, 0.0010397467163722025)	(96.0, 0.0006750470500948018)	(97.0, 0.0005194584552665591)	(98.0, 0.00036718908379465245)	(99.0, 0.00020122791597786038)	(100.0, 0.00011700262331083842)
qc_output | SRR8668756	(0.0, 0.030072820897893274)	(1.0, 0.016927129585158397)	(2.0, 0.0031547194525991364)	(3.0, 0.0026296663963839063)	(4.0, 0.0027317722715238337)	(5.0, 0.0027326524945853847)	(6.0, 0.0026186636081145177)	(7.0, 0.0025024741639897725)	(8.0, 0.002513917063789937)	(9.0, 0.0029456664754807507)	(10.0, 0.0037149814312764104)	(11.0, 0.004845187842308021)	(12.0, 0.005721890011612915)	(13.0, 0.007228831892988395)	(14.0, 0.0114803092802802)	(15.0, 0.01671499582732458)	(16.0, 0.021454116790715697)	(17.0, 0.03163609705520803)	(18.0, 0.05310297708031621)	(19.0, 0.07982434867135368)	(20.0, 0.10432623781269006)	(21.0, 0.1465421759562115)	(22.0, 0.22296402238313942)	(23.0, 0.30951723624852046)	(24.0, 0.3792423456231676)	(25.0, 0.4948807701113816)	(26.0, 0.6814981817254223)	(27.0, 0.8522077620595808)	(28.0, 0.9674747324158203)	(29.0, 1.1293961657034526)	(30.0, 1.3518030068886302)	(31.0, 1.5521822659584914)	(32.0, 1.6886934199052666)	(33.0, 1.82514119779161)	(34.0, 2.018103697344842)	(35.0, 2.196153897900806)	(36.0, 2.303332938655983)	(37.0, 2.4025952531955697)	(38.0, 2.5340596482189413)	(39.0, 2.6443705226271175)	(40.0, 2.7060503932191877)	(41.0, 2.757542562096865)	(42.0, 2.8583743143551974)	(43.0, 2.915263570934776)	(44.0, 2.898637477636668)	(45.0, 2.913103503541729)	(46.0, 2.9136998546659303)	(47.0, 2.894591532334248)	(48.0, 2.969072486910456)	(49.0, 2.8569179852998614)	(50.0, 2.6348667542315503)	(51.0, 2.587938101816484)	(52.0, 2.5654897730777466)	(53.0, 2.4635599425501296)	(54.0, 2.3912835066315763)	(55.0, 2.5508186551993437)	(56.0, 2.666794205120132)	(57.0, 2.7160426854139157)	(58.0, 2.700659467078718)	(59.0, 2.474258173640221)	(60.0, 2.3327139042274974)	(61.0, 2.4206209011615436)	(62.0, 2.3380528972073353)	(63.0, 1.8547083305406422)	(64.0, 1.4950487474793328)	(65.0, 1.4359395683385225)	(66.0, 1.273020842322153)	(67.0, 1.0843151014945822)	(68.0, 0.9709472123936392)	(69.0, 0.8742833163317516)	(70.0, 0.682365641552581)	(71.0, 0.4236165907136124)	(72.0, 0.3285476588392552)	(73.0, 0.2773204371031044)	(74.0, 0.2183723387825581)	(75.0, 0.18455548909235725)	(76.0, 0.17676463477456847)	(77.0, 0.1566079667765791)	(78.0, 0.1347361841431574)	(79.0, 0.131766311533484)	(80.0, 0.1287585893321639)	(81.0, 0.1122544069280808)	(82.0, 0.08209356372403241)	(83.0, 0.06331752559808594)	(84.0, 0.06122391504618665)	(85.0, 0.051679216278257306)	(86.0, 0.034081796831727754)	(87.0, 0.021233620913797147)	(88.0, 0.017671798295230627)	(89.0, 0.016542472107260564)	(90.0, 0.012645284502243078)	(91.0, 0.009386258616850137)	(92.0, 0.008020592536853608)	(93.0, 0.007185700962972391)	(94.0, 0.006125032173803317)	(95.0, 0.005478068223563261)	(96.0, 0.0052848592615527944)	(97.0, 0.005431416401301053)	(98.0, 0.005975834364870407)	(99.0, 0.004536669659234361)	(100.0, 0.002765660859393551)
qc_output | SRR8668756_filtered	(0.0, 0.005067116122628844)	(1.0, 0.004675521690433419)	(2.0, 0.0037787303457128404)	(3.0, 0.0032370024395130276)	(4.0, 0.003253040436736049)	(5.0, 0.0033011544284051106)	(6.0, 0.0032784339323391645)	(7.0, 0.003254376936504633)	(8.0, 0.003353277919379928)	(9.0, 0.0038308538366876583)	(10.0, 0.004536971214423435)	(11.0, 0.0056034980297543155)	(12.0, 0.006617455854187519)	(13.0, 0.008147302589294556)	(14.0, 0.011832477951206443)	(15.0, 0.016853707581780532)	(16.0, 0.021986312193070044)	(17.0, 0.03176637199965269)	(18.0, 0.05222551045715286)	(19.0, 0.07845654591524907)	(20.0, 0.10323480612489332)	(21.0, 0.14511001687420058)	(22.0, 0.22049216782178113)	(23.0, 0.30695211985124043)	(24.0, 0.3773981316535135)	(25.0, 0.4934526435586748)	(26.0, 0.6799455937674204)	(27.0, 0.8510995361321154)	(28.0, 0.9685261877996907)	(29.0, 1.1318148290262624)	(30.0, 1.3533819881619087)	(31.0, 1.5531356890745556)	(32.0, 1.6916683450876262)	(33.0, 1.8299942891364889)	(34.0, 2.022327743333951)	(35.0, 2.200461778490043)	(36.0, 2.310604951918753)	(37.0, 2.411548997440291)	(38.0, 2.541709373403022)	(39.0, 2.6509891679812254)	(40.0, 2.7132290712043865)	(41.0, 2.7654082496695613)	(42.0, 2.8645150535092183)	(43.0, 2.916274125547135)	(44.0, 2.904933925010691)	(45.0, 2.9222825830067705)	(46.0, 2.924633040599789)	(47.0, 2.9156192406605284)	(48.0, 3.0120133954698805)	(49.0, 2.9199258884148325)	(50.0, 2.7052336840887876)	(51.0, 2.675546014729208)	(52.0, 2.670198679155099)	(53.0, 2.6121700867027497)	(54.0, 2.6074290765236556)	(55.0, 2.808957649128983)	(56.0, 3.0355945973867953)	(57.0, 2.9911666720794905)	(58.0, 2.572876102506503)	(59.0, 2.2050949776878044)	(60.0, 2.092804049130979)	(61.0, 2.263629212552602)	(62.0, 2.3156970160370616)	(63.0, 1.8326405586782872)	(64.0, 1.4561659483648661)	(65.0, 1.337830922354576)	(66.0, 1.1728146324271465)	(67.0, 0.9357979814665796)	(68.0, 0.7830618969128326)	(69.0, 0.7371847603564587)	(70.0, 0.5938505061747849)	(71.0, 0.408456604275739)	(72.0, 0.3272464233372818)	(73.0, 0.2762331181702356)	(74.0, 0.21822100921503224)	(75.0, 0.18504863945882807)	(76.0, 0.17756735925421174)	(77.0, 0.15728552976601054)	(78.0, 0.1360186999483621)	(79.0, 0.13319601243711043)	(80.0, 0.12895529867139002)	(81.0, 0.1086329286902084)	(82.0, 0.07546501393323284)	(83.0, 0.05781341598960702)	(84.0, 0.05543890140075423)	(85.0, 0.0466888374158278)	(86.0, 0.03155253203667908)	(87.0, 0.019471910628438675)	(88.0, 0.015674914785888505)	(89.0, 0.01426490753003126)	(90.0, 0.01072095564366653)	(91.0, 0.0074189102154156965)	(92.0, 0.005601716030062869)	(93.0, 0.004196163773434243)	(94.0, 0.0030971154637344576)	(95.0, 0.0026035015492037066)	(96.0, 0.002541577059925932)	(97.0, 0.0027580900224367126)	(98.0, 0.00274160652529083)	(99.0, 0.0013988697577857014)	(100.0, 0.0002058209643621)
qc_output | SRR8668757	(0.0, 0.006160485724248207)	(1.0, 0.0034414044680362668)	(2.0, 0.0006655860147958715)	(3.0, 0.0007168451376284753)	(4.0, 0.0008244501664755445)	(5.0, 0.0008831438185739459)	(6.0, 0.0010048353239246312)	(7.0, 0.001159786565464411)	(8.0, 0.0012619135201156293)	(9.0, 0.0014962968374952455)	(10.0, 0.0020961459619409074)	(11.0, 0.0030047236964241605)	(12.0, 0.003586573434226313)	(13.0, 0.004631711732591846)	(14.0, 0.007370357539503253)	(15.0, 0.010692026957258781)	(16.0, 0.013811007629767828)	(17.0, 0.02023209316933294)	(18.0, 0.03291892171590939)	(19.0, 0.04807753559785652)	(20.0, 0.06140373366129155)	(21.0, 0.08661304852856892)	(22.0, 0.1346404988766348)	(23.0, 0.1925433518357637)	(24.0, 0.24272329405178494)	(25.0, 0.3332304707515758)	(26.0, 0.49404286038990175)	(27.0, 0.6637426428289677)	(28.0, 0.7939998997668939)	(29.0, 0.9882629756091407)	(30.0, 1.2785257801145469)	(31.0, 1.547637740149773)	(32.0, 1.7325063100371498)	(33.0, 1.942205033799248)	(34.0, 2.2329111710235043)	(35.0, 2.4839611378529822)	(36.0, 2.630286368989367)	(37.0, 2.759887039605819)	(38.0, 2.91029226214507)	(39.0, 3.013880688733539)	(40.0, 3.0599062942540356)	(41.0, 3.1245244835952493)	(42.0, 3.331795246615544)	(43.0, 3.3441514342552994)	(44.0, 3.1653510054128695)	(45.0, 3.0980454293875765)	(46.0, 3.05570578521886)	(47.0, 2.9274902847919297)	(48.0, 2.8759729098900935)	(49.0, 2.735432916395541)	(50.0, 2.5303584698367687)	(51.0, 2.4997012101817178)	(52.0, 2.483356984527383)	(53.0, 2.4283778580247826)	(54.0, 2.3631379072623395)	(55.0, 2.456916276839081)	(56.0, 2.545771422877809)	(57.0, 2.510816222725099)	(58.0, 2.4111430540226078)	(59.0, 2.237520579168299)	(60.0, 2.0998076632498197)	(61.0, 2.024787784883727)	(62.0, 1.945029763629237)	(63.0, 1.67067215626047)	(64.0, 1.4145537969267878)	(65.0, 1.2969645865667667)	(66.0, 1.0918435763773295)	(67.0, 1.033305266811482)	(68.0, 0.9894004585868078)	(69.0, 0.823401506558053)	(70.0, 0.5834552048325505)	(71.0, 0.4063498486627222)	(72.0, 0.39261162116155646)	(73.0, 0.3683140143568743)	(74.0, 0.30661368210697876)	(75.0, 0.284539390843784)	(76.0, 0.32325802796904346)	(77.0, 0.2706438643549945)	(78.0, 0.16831969903272548)	(79.0, 0.1375043578080228)	(80.0, 0.13795825538425044)	(81.0, 0.11295045538917757)	(82.0, 0.063626266620751)	(83.0, 0.034642167341518454)	(84.0, 0.031798264251843913)	(85.0, 0.03185069724771849)	(86.0, 0.02560373620937863)	(87.0, 0.014718802782223104)	(88.0, 0.011122447072647059)	(89.0, 0.009438330548436928)	(90.0, 0.005781716022706523)	(91.0, 0.002973420415305013)	(92.0, 0.0021341011902978736)	(93.0, 0.001958802816030648)	(94.0, 0.0015651640559573696)	(95.0, 0.0011100926066877645)	(96.0, 0.0009124906446231466)	(97.0, 0.0008381453519651715)	(98.0, 0.0010830935267224996)	(99.0, 0.0017099417311334266)	(100.0, 0.0020394087649124523)
qc_output | SRR8668757_filtered	(0.0, 0.0007058463138130213)	(1.0, 0.0009857508865319781)	(2.0, 0.0014619419758841443)	(3.0, 0.0017065149756091231)	(4.0, 0.0018651144810487568)	(5.0, 0.0020853479527112176)	(6.0, 0.002266324121047037)	(7.0, 0.0025234594578365413)	(8.0, 0.0029486160528640728)	(9.0, 0.003511958355601384)	(10.0, 0.004224870984013201)	(11.0, 0.005170971994185271)	(12.0, 0.006079385993163765)	(13.0, 0.007418845182668787)	(14.0, 0.010125636247040746)	(15.0, 0.01354651765892432)	(16.0, 0.01686179692485923)	(17.0, 0.022898392457396954)	(18.0, 0.03463985930936228)	(19.0, 0.04911441961892841)	(20.0, 0.06251332981734456)	(21.0, 0.08734043358717943)	(22.0, 0.13447824798361144)	(23.0, 0.19196153952571335)	(24.0, 0.24213080288502864)	(25.0, 0.3327346960977518)	(26.0, 0.4929323663558127)	(27.0, 0.6622597150755174)	(28.0, 0.7931003813328822)	(29.0, 0.9872469823617565)	(30.0, 1.2768854034405541)	(31.0, 1.5455392255991285)	(32.0, 1.7306621428853408)	(33.0, 1.9407998138512894)	(34.0, 2.2312606754347803)	(35.0, 2.4823633424220795)	(36.0, 2.629615524335147)	(37.0, 2.7600133682109873)	(38.0, 2.9103872908845894)	(39.0, 3.0137207572740095)	(40.0, 3.060073818176942)	(41.0, 3.1257120293390868)	(42.0, 3.334224840520346)	(43.0, 3.3463251191247165)	(44.0, 3.165545237305531)	(45.0, 3.0971845321576827)	(46.0, 3.054301424295792)	(47.0, 2.9269322813716023)	(48.0, 2.8768030604616803)	(49.0, 2.736525723630657)	(50.0, 2.5315091678836694)	(51.0, 2.5005449698847806)	(52.0, 2.484254759296357)	(53.0, 2.429803309290172)	(54.0, 2.3651429975538933)	(55.0, 2.4592097774930592)	(56.0, 2.5471850016750306)	(57.0, 2.511486372894949)	(58.0, 2.411916111602421)	(59.0, 2.23730355213585)	(60.0, 2.09802649139359)	(61.0, 2.024917222835352)	(62.0, 1.9477707332030012)	(63.0, 1.6728306390627317)	(64.0, 1.4139715140841542)	(65.0, 1.2948346276675613)	(66.0, 1.0908462206946978)	(67.0, 1.0329786001530281)	(68.0, 0.9885891895624943)	(69.0, 0.8226697673445754)	(70.0, 0.5830710605241152)	(71.0, 0.4046646752640579)	(72.0, 0.3897896904605601)	(73.0, 0.3656279979821118)	(74.0, 0.30481019109544494)	(75.0, 0.28336314114203387)	(76.0, 0.3212629269196405)	(77.0, 0.26827538175450566)	(78.0, 0.16727301403662154)	(79.0, 0.13670963310469775)	(80.0, 0.13713478969972528)	(81.0, 0.11296524576061168)	(82.0, 0.06404907552348278)	(83.0, 0.03522557827499578)	(84.0, 0.03170812389692866)	(85.0, 0.031113375751530038)	(86.0, 0.024991984443806767)	(87.0, 0.014835334927137974)	(88.0, 0.011551461503864378)	(89.0, 0.009480638753384018)	(90.0, 0.0058340278473722525)	(91.0, 0.0030742394235093273)	(92.0, 0.001933029615803847)	(93.0, 0.0013241488412076314)	(94.0, 0.0008291142462586769)	(95.0, 0.000548031954439921)	(96.0, 0.000385114145634357)	(97.0, 0.0002912891906836829)	(98.0, 0.00020610084246486997)	(99.0, 0.00011070559538113017)	(100.0, 5.417507859076582e-05)
qc_output | SRR8668758	(0.0, 0.1166862890735407)	(1.0, 0.05949551298034643)	(2.0, 0.0019585471988013453)	(3.0, 0.0017249590007791663)	(4.0, 0.0018375604911078066)	(5.0, 0.0018399562674977776)	(6.0, 0.0018603203668125315)	(7.0, 0.0018687055841774302)	(8.0, 0.0018543309258376038)	(9.0, 0.0020831275710798403)	(10.0, 0.002640145581748113)	(11.0, 0.0036152265724663365)	(12.0, 0.00434354259501754)	(13.0, 0.005418048305919562)	(14.0, 0.008433132892698147)	(15.0, 0.012357414619470751)	(16.0, 0.016057691253781058)	(17.0, 0.02363433408706455)	(18.0, 0.03930750323025525)	(19.0, 0.05903073236069204)	(20.0, 0.07737040062592053)	(21.0, 0.10836695555936618)	(22.0, 0.1654858583608613)	(23.0, 0.2321543258527811)	(24.0, 0.2877279528827449)	(25.0, 0.3814615062521678)	(26.0, 0.5340628791877646)	(27.0, 0.6838695789644603)	(28.0, 0.8004205066719677)	(29.0, 0.9535070243265338)	(30.0, 1.1635243763359824)	(31.0, 1.3607015647833807)	(32.0, 1.504675746938692)	(33.0, 1.644601066994952)	(34.0, 1.8252905223265699)	(35.0, 2.001685548479164)	(36.0, 2.126467165974417)	(37.0, 2.2355396776806296)	(38.0, 2.363705329326717)	(39.0, 2.480925876535221)	(40.0, 2.556918705736908)	(41.0, 2.6402905262197063)	(42.0, 2.8057212817235984)	(43.0, 2.8672340384243005)	(44.0, 2.8107967340057516)	(45.0, 2.8060483052008296)	(46.0, 2.831919096547932)	(47.0, 2.9050262130878988)	(48.0, 3.0058692328945606)	(49.0, 2.855734311752439)	(50.0, 2.6273641147076177)	(51.0, 2.577948830888074)	(52.0, 2.5581597179069133)	(53.0, 2.4652203644107655)	(54.0, 2.380688988155222)	(55.0, 2.508921721540228)	(56.0, 2.6376168397684983)	(57.0, 2.6758067133128325)	(58.0, 2.6220670531093915)	(59.0, 2.4305426990541297)	(60.0, 2.3243043908172525)	(61.0, 2.3936345658784304)	(62.0, 2.3183029709603753)	(63.0, 1.9293882043590074)	(64.0, 1.6375898273897016)	(65.0, 1.5124847800818024)	(66.0, 1.3107232735121943)	(67.0, 1.169415590478921)	(68.0, 1.0795619969730563)	(69.0, 0.935938796058876)	(70.0, 0.7261047209432603)	(71.0, 0.5400439349453274)	(72.0, 0.4868576990879699)	(73.0, 0.4425609915255998)	(74.0, 0.3744239131066278)	(75.0, 0.3532895716824981)	(76.0, 0.36515465425382976)	(77.0, 0.3507476529327388)	(78.0, 0.33170362640885875)	(79.0, 0.31974750433470817)	(80.0, 0.3015120523424434)	(81.0, 0.26558259382204735)	(82.0, 0.20847686779069707)	(83.0, 0.16572304022346843)	(84.0, 0.15258220672447714)	(85.0, 0.12847350891219833)	(86.0, 0.09341491510955675)	(87.0, 0.07189485368664167)	(88.0, 0.06640493208902297)	(89.0, 0.06512918116136339)	(90.0, 0.05841741360485945)	(91.0, 0.054216419705045184)	(92.0, 0.05337430430397036)	(93.0, 0.05507051398806987)	(94.0, 0.06150556937153215)	(95.0, 0.0717271493393437)	(96.0, 0.07741711826552498)	(97.0, 0.08529802470033479)	(98.0, 0.10242423222404295)	(99.0, 0.06777890984867138)	(100.0, 0.02411109358866879)
qc_output | SRR8668758_filtered	(0.0, 0.0033768275423765493)	(1.0, 0.003058027556531269)	(2.0, 0.0024756045054677754)	(3.0, 0.0022009460561241492)	(4.0, 0.0022291475933335393)	(5.0, 0.0023370491270042495)	(6.0, 0.0024400460455081094)	(7.0, 0.002476830659259488)	(8.0, 0.0026129337301395886)	(9.0, 0.002977101406278236)	(10.0, 0.0034835029222555474)	(11.0, 0.004470556724584205)	(12.0, 0.005434313604870322)	(13.0, 0.006605290475955872)	(14.0, 0.009331030354933021)	(15.0, 0.013167665569201802)	(16.0, 0.017005526937262296)	(17.0, 0.02419201431048995)	(18.0, 0.039283515178888846)	(19.0, 0.058951021997959235)	(20.0, 0.07775899500903909)	(21.0, 0.10860289363956999)	(22.0, 0.16540814650203214)	(23.0, 0.23222126661245268)	(24.0, 0.28796712259887514)	(25.0, 0.3829535783814765)	(26.0, 0.5371706192265475)	(27.0, 0.6883713217440056)	(28.0, 0.8075154595309288)	(29.0, 0.9636453002910719)	(30.0, 1.174726449380607)	(31.0, 1.372595791364439)	(32.0, 1.52035468018856)	(33.0, 1.663435792297297)	(34.0, 1.8441463381199026)	(35.0, 2.021742453311558)	(36.0, 2.1504824706724244)	(37.0, 2.2614444842072494)	(38.0, 2.389470880061339)	(39.0, 2.5067512640848593)	(40.0, 2.5832632606877266)	(41.0, 2.666162292391625)	(42.0, 2.8283174528842436)	(43.0, 2.880893701319089)	(44.0, 2.81852784101121)	(45.0, 2.807466707656171)	(46.0, 2.8211469055103082)	(47.0, 2.867130125007115)	(48.0, 2.9846091459448925)	(49.0, 2.9141482183041267)	(50.0, 2.735332080089717)	(51.0, 2.7072519321057067)	(52.0, 2.696928943333278)	(53.0, 2.641141398117937)	(54.0, 2.6146540239093614)	(55.0, 2.7555084407323482)	(56.0, 2.9413013940216026)	(57.0, 2.9023305480596004)	(58.0, 2.5439503178178366)	(59.0, 2.2400051851591543)	(60.0, 2.1599103671769027)	(61.0, 2.2930657643417263)	(62.0, 2.3132801357519006)	(63.0, 1.9171000364192197)	(64.0, 1.6059304056197667)	(65.0, 1.4431842389995428)	(66.0, 1.2391976157488567)	(67.0, 1.0610840636570984)	(68.0, 0.9388107813937243)	(69.0, 0.8225248080952832)	(70.0, 0.6517755356765509)	(71.0, 0.5238300659727143)	(72.0, 0.4838868800538841)	(73.0, 0.440354741986711)	(74.0, 0.3740161433936832)	(75.0, 0.35264673511171574)	(76.0, 0.3638611376907193)	(77.0, 0.34844961068268343)	(78.0, 0.3313705145179184)	(79.0, 0.3223656410715809)	(80.0, 0.3006762066499764)	(81.0, 0.25629189169756306)	(82.0, 0.19189797301819153)	(83.0, 0.14852033032877426)	(84.0, 0.13440116941720348)	(85.0, 0.11330274112320445)	(86.0, 0.08255325633463542)	(87.0, 0.05894366507520896)	(88.0, 0.04860841476486331)	(89.0, 0.04290434732581621)	(90.0, 0.033402881593835136)	(91.0, 0.024109862006445205)	(92.0, 0.01907650069146491)	(93.0, 0.016904982326341862)	(94.0, 0.017836859208043454)	(95.0, 0.023418311267919288)	(96.0, 0.034231761557032864)	(97.0, 0.05165785924485258)	(98.0, 0.0637869725524738)	(99.0, 0.03371432465693014)	(100.0, 0.0021702922113313334)
