Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40
qc_output | SRR8668769	(35, 9979.0)	(36, 1276.0)	(37, 1544.0)	(38, 1745.0)	(39, 2151.0)	(40, 2532.0)	(41, 2964.0)	(42, 3327.0)	(43, 3419.0)	(44, 3480.0)	(45, 3911.0)	(46, 4379.0)	(47, 5185.0)	(48, 6202.0)	(49, 7112.0)	(50, 8317.0)	(51, 9193.0)	(52, 9835.0)	(53, 10799.0)	(54, 11480.0)	(55, 12349.0)	(56, 13690.0)	(57, 15027.0)	(58, 17272.0)	(59, 19976.0)	(60, 22294.0)	(61, 26029.0)	(62, 29003.0)	(63, 32388.0)	(64, 37070.0)	(65, 40425.0)	(66, 43845.0)	(67, 47458.0)	(68, 54656.0)	(69, 65129.0)	(70, 141541.0)	(71, 358318.0)	(72, 1511287.0)	(73, 6411316.0)	(74, 19447981.0)	(75, 65795648.0)
qc_output | SRR8668769_filtered	(24, 486.0)	(26, 1189.0)	(28, 1348.0)	(30, 1587.0)	(32, 1747.0)	(34, 3048.0)	(36, 4834.0)	(38, 6412.0)	(40, 8315.0)	(42, 9726.0)	(44, 10862.0)	(46, 13757.0)	(48, 18490.0)	(50, 24066.0)	(52, 28263.0)	(54, 33630.0)	(56, 41629.0)	(58, 55185.0)	(60, 74441.0)	(62, 101221.0)	(64, 153072.0)	(66, 224398.0)	(68, 457028.0)	(70, 1200995.0)	(72, 7807581.0)	(74, 83467919.0)															
qc_output | SRR8668771	(35, 5609.0)	(36, 677.0)	(37, 855.0)	(38, 984.0)	(39, 1185.0)	(40, 1333.0)	(41, 1652.0)	(42, 1693.0)	(43, 1740.0)	(44, 1829.0)	(45, 1902.0)	(46, 2331.0)	(47, 2631.0)	(48, 3239.0)	(49, 3716.0)	(50, 4110.0)	(51, 4536.0)	(52, 4978.0)	(53, 5233.0)	(54, 5819.0)	(55, 6065.0)	(56, 6871.0)	(57, 7499.0)	(58, 8614.0)	(59, 10263.0)	(60, 11206.0)	(61, 12398.0)	(62, 14182.0)	(63, 15168.0)	(64, 17504.0)	(65, 18949.0)	(66, 19685.0)	(67, 22208.0)	(68, 24613.0)	(69, 34547.0)	(70, 83388.0)	(71, 294650.0)	(72, 1126665.0)	(73, 4168582.0)	(74, 14062446.0)	(75, 44414982.0)
qc_output | SRR8668771_filtered	(24, 380.0)	(26, 824.0)	(28, 1009.0)	(30, 1055.0)	(32, 1240.0)	(34, 2005.0)	(36, 2988.0)	(38, 3885.0)	(40, 4873.0)	(42, 5610.0)	(44, 6175.0)	(46, 7989.0)	(48, 10659.0)	(50, 13401.0)	(52, 15809.0)	(54, 19207.0)	(56, 24163.0)	(58, 32131.0)	(60, 43020.0)	(62, 58107.0)	(64, 90106.0)	(66, 140584.0)	(68, 288727.0)	(70, 835436.0)	(72, 5223782.0)	(74, 57318104.0)															
qc_output | SRR8668772	(35, 8411.0)	(36, 1121.0)	(37, 1274.0)	(38, 1475.0)	(39, 1616.0)	(40, 1989.0)	(41, 2308.0)	(42, 2464.0)	(43, 2460.0)	(44, 2676.0)	(45, 3007.0)	(46, 3212.0)	(47, 4206.0)	(48, 4833.0)	(49, 5418.0)	(50, 6392.0)	(51, 6772.0)	(52, 7032.0)	(53, 7886.0)	(54, 8339.0)	(55, 8990.0)	(56, 9703.0)	(57, 11247.0)	(58, 12988.0)	(59, 14673.0)	(60, 16769.0)	(61, 19079.0)	(62, 21063.0)	(63, 23171.0)	(64, 25864.0)	(65, 28382.0)	(66, 30313.0)	(67, 33228.0)	(68, 37564.0)	(69, 44824.0)	(70, 98216.0)	(71, 279902.0)	(72, 1217333.0)	(73, 4609255.0)	(74, 15725513.0)	(75, 45828938.0)
qc_output | SRR8668772_filtered	(24, 428.0)	(26, 1144.0)	(28, 1298.0)	(30, 1383.0)	(32, 1512.0)	(34, 2803.0)	(36, 4179.0)	(38, 5251.0)	(40, 6787.0)	(42, 7708.0)	(44, 8676.0)	(46, 11237.0)	(48, 14940.0)	(50, 19021.0)	(52, 21986.0)	(54, 26515.0)	(56, 32688.0)	(58, 43315.0)	(60, 58629.0)	(62, 77643.0)	(64, 113757.0)	(66, 165751.0)	(68, 324540.0)	(70, 840708.0)	(72, 5739731.0)	(74, 60237325.0)															
qc_output | SRR8668773	(35, 8700.0)	(36, 1091.0)	(37, 1245.0)	(38, 1469.0)	(39, 1597.0)	(40, 2049.0)	(41, 2241.0)	(42, 2559.0)	(43, 2637.0)	(44, 2773.0)	(45, 2983.0)	(46, 3516.0)	(47, 4284.0)	(48, 5069.0)	(49, 5701.0)	(50, 6845.0)	(51, 7489.0)	(52, 7846.0)	(53, 8704.0)	(54, 9232.0)	(55, 10021.0)	(56, 11186.0)	(57, 12340.0)	(58, 13925.0)	(59, 16384.0)	(60, 18199.0)	(61, 21058.0)	(62, 23783.0)	(63, 25604.0)	(64, 29437.0)	(65, 32156.0)	(66, 34520.0)	(67, 37647.0)	(68, 42272.0)	(69, 50773.0)	(70, 106160.0)	(71, 295860.0)	(72, 1242702.0)	(73, 4842564.0)	(74, 15761834.0)	(75, 47263668.0)
qc_output | SRR8668773_filtered	(24, 371.0)	(26, 888.0)	(28, 1125.0)	(30, 1222.0)	(32, 1450.0)	(34, 2470.0)	(36, 4017.0)	(38, 4969.0)	(40, 6620.0)	(42, 7543.0)	(44, 8651.0)	(46, 11242.0)	(48, 15142.0)	(50, 19820.0)	(52, 22977.0)	(54, 27927.0)	(56, 34434.0)	(58, 44831.0)	(60, 59609.0)	(62, 80400.0)	(64, 117822.0)	(66, 169915.0)	(68, 324356.0)	(70, 844092.0)	(72, 5996240.0)	(74, 61743160.0)															
qc_output | SRR8668774	(35, 152364.0)	(36, 24604.0)	(37, 26801.0)	(38, 31506.0)	(39, 35962.0)	(40, 41045.0)	(41, 46901.0)	(42, 49525.0)	(43, 51202.0)	(44, 53316.0)	(45, 58446.0)	(46, 65522.0)	(47, 75608.0)	(48, 86095.0)	(49, 95690.0)	(50, 105020.0)	(51, 113717.0)	(52, 121413.0)	(53, 128067.0)	(54, 139751.0)	(55, 143932.0)	(56, 160831.0)	(57, 170994.0)	(58, 192572.0)	(59, 217420.0)	(60, 234694.0)	(61, 250877.0)	(62, 276935.0)	(63, 293454.0)	(64, 317679.0)	(65, 341903.0)	(66, 341387.0)	(67, 373375.0)	(68, 391400.0)	(69, 422559.0)	(70, 546070.0)	(71, 950110.0)	(72, 2799040.0)	(73, 8768657.0)	(74, 29821716.0)	(75, 84869774.0)
qc_output | SRR8668774_filtered	(24, 16524.0)	(26, 11722.0)	(28, 55558.0)	(30, 76242.0)	(32, 19637.0)	(34, 28768.0)	(36, 57984.0)	(38, 84322.0)	(40, 110672.0)	(42, 115071.0)	(44, 135607.0)	(46, 226940.0)	(48, 276137.0)	(50, 470621.0)	(52, 491193.0)	(54, 321851.0)	(56, 392700.0)	(58, 483773.0)	(60, 560446.0)	(62, 792295.0)	(64, 1108682.0)	(66, 1480442.0)	(68, 2788389.0)	(70, 3834869.0)	(72, 11098685.0)	(74, 105244828.0)															
