Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
qc_output | SRR8668769	(0.0, 11231.0)	(1.0, 6010.0)	(2.0, 701.0)	(3.0, 699.0)	(4.0, 785.0)	(5.0, 774.5)	(6.0, 709.0)	(7.0, 745.5)	(8.0, 842.5)	(9.0, 1004.5)	(10.0, 1374.5)	(11.0, 1967.5)	(12.0, 2369.0)	(13.0, 2913.0)	(14.0, 4372.0)	(15.0, 6061.5)	(16.0, 7654.5)	(17.0, 10861.5)	(18.0, 17094.5)	(19.0, 24787.5)	(20.0, 31790.0)	(21.0, 44107.5)	(22.0, 66434.0)	(23.0, 88915.5)	(24.0, 104563.0)	(25.0, 136396.5)	(26.0, 190821.5)	(27.0, 241478.0)	(28.0, 278087.5)	(29.0, 350177.0)	(30.0, 468629.5)	(31.0, 598865.5)	(32.0, 702953.5)	(33.0, 847946.5)	(34.0, 1096278.0)	(35.0, 1367222.5)	(36.0, 1554781.5)	(37.0, 1780570.5)	(38.0, 2061997.5)	(39.0, 2359095.5)	(40.0, 2614389.0)	(41.0, 2810310.0)	(42.0, 3078559.0)	(43.0, 3244500.5)	(44.0, 3278702.0)	(45.0, 3329814.5)	(46.0, 3439311.5)	(47.0, 3590928.5)	(48.0, 3693261.0)	(49.0, 3677742.5)	(50.0, 3601744.5)	(51.0, 3557565.0)	(52.0, 3544353.0)	(53.0, 3545136.5)	(54.0, 3608622.0)	(55.0, 3969771.0)	(56.0, 4256156.0)	(57.0, 4550750.5)	(58.0, 4901901.0)	(59.0, 4707421.0)	(60.0, 4466701.0)	(61.0, 4363923.5)	(62.0, 4093970.0)	(63.0, 3395183.0)	(64.0, 2722417.5)	(65.0, 2615552.0)	(66.0, 2259646.5)	(67.0, 1955880.0)	(68.0, 1885597.5)	(69.0, 1606905.0)	(70.0, 1194508.5)	(71.0, 751308.5)	(72.0, 596666.0)	(73.0, 553765.5)	(74.0, 506826.0)	(75.0, 435903.0)	(76.0, 377599.0)	(77.0, 345436.5)	(78.0, 393714.5)	(79.0, 522001.5)	(80.0, 569224.0)	(81.0, 463431.5)	(82.0, 301734.5)	(83.0, 366032.5)	(84.0, 496992.0)	(85.0, 558024.5)	(86.0, 399373.5)	(87.0, 199546.5)	(88.0, 220893.5)	(89.0, 215422.5)	(90.0, 120967.5)	(91.0, 26224.0)	(92.0, 13845.5)	(93.0, 10361.0)	(94.0, 6276.0)	(95.0, 4208.0)	(96.0, 3613.0)	(97.0, 3314.0)	(98.0, 3191.0)	(99.0, 3906.0)	(100.0, 4518.0)
qc_output | SRR8668769_filtered	(0.0, 2653.0)	(1.0, 1904.5)	(2.0, 1207.5)	(3.0, 1268.5)	(4.0, 1317.5)	(5.0, 1397.5)	(6.0, 1409.0)	(7.0, 1466.5)	(8.0, 1636.0)	(9.0, 1858.0)	(10.0, 2136.0)	(11.0, 2561.0)	(12.0, 3008.0)	(13.0, 3600.5)	(14.0, 4826.0)	(15.0, 6331.0)	(16.0, 7887.0)	(17.0, 10697.0)	(18.0, 16095.5)	(19.0, 23319.0)	(20.0, 30225.0)	(21.0, 42005.0)	(22.0, 63397.0)	(23.0, 85166.5)	(24.0, 100537.0)	(25.0, 132067.0)	(26.0, 185787.0)	(27.0, 235732.5)	(28.0, 272184.5)	(29.0, 343923.5)	(30.0, 461351.0)	(31.0, 590717.0)	(32.0, 694921.0)	(33.0, 840040.0)	(34.0, 1087178.0)	(35.0, 1356869.0)	(36.0, 1545387.0)	(37.0, 1771729.0)	(38.0, 2052302.5)	(39.0, 2349223.0)	(40.0, 2604986.5)	(41.0, 2800812.0)	(42.0, 3068194.5)	(43.0, 3234051.5)	(44.0, 3268823.5)	(45.0, 3320033.5)	(46.0, 3429233.0)	(47.0, 3580314.5)	(48.0, 3681830.0)	(49.0, 3657154.5)	(50.0, 3576848.0)	(51.0, 3546265.0)	(52.0, 3549279.0)	(53.0, 3554731.5)	(54.0, 3608592.0)	(55.0, 3960982.5)	(56.0, 4247171.0)	(57.0, 4542671.0)	(58.0, 4893143.5)	(59.0, 4697845.5)	(60.0, 4454560.5)	(61.0, 4351613.5)	(62.0, 4084966.0)	(63.0, 3388641.0)	(64.0, 2715566.0)	(65.0, 2606993.0)	(66.0, 2252312.5)	(67.0, 1950832.5)	(68.0, 1881411.5)	(69.0, 1603794.0)	(70.0, 1192185.5)	(71.0, 749207.0)	(72.0, 595520.5)	(73.0, 553219.0)	(74.0, 504080.0)	(75.0, 430241.0)	(76.0, 370846.5)	(77.0, 340023.0)	(78.0, 392417.0)	(79.0, 520237.5)	(80.0, 564407.0)	(81.0, 459712.0)	(82.0, 299911.5)	(83.0, 362750.0)	(84.0, 491711.0)	(85.0, 546983.0)	(86.0, 389827.5)	(87.0, 202318.5)	(88.0, 228582.0)	(89.0, 219912.5)	(90.0, 122620.0)	(91.0, 28271.0)	(92.0, 14074.0)	(93.0, 9025.5)	(94.0, 5271.5)	(95.0, 3251.5)	(96.0, 2272.0)	(97.0, 1787.0)	(98.0, 1350.0)	(99.0, 1039.0)	(100.0, 953.0)
qc_output | SRR8668771	(0.0, 5730.0)	(1.0, 3010.5)	(2.0, 266.0)	(3.0, 265.5)	(4.0, 290.5)	(5.0, 308.0)	(6.0, 342.0)	(7.0, 402.0)	(8.0, 449.5)	(9.0, 583.0)	(10.0, 886.5)	(11.0, 1284.5)	(12.0, 1528.0)	(13.0, 1911.0)	(14.0, 3032.0)	(15.0, 4507.0)	(16.0, 5742.5)	(17.0, 8079.0)	(18.0, 13113.5)	(19.0, 19542.5)	(20.0, 25188.0)	(21.0, 35263.0)	(22.0, 54580.0)	(23.0, 75018.0)	(24.0, 90089.5)	(25.0, 118915.5)	(26.0, 170391.0)	(27.0, 224568.5)	(28.0, 266088.5)	(29.0, 338963.0)	(30.0, 459933.5)	(31.0, 586442.0)	(32.0, 679444.5)	(33.0, 803161.0)	(34.0, 1003999.0)	(35.0, 1196858.0)	(36.0, 1314328.0)	(37.0, 1439495.5)	(38.0, 1596711.5)	(39.0, 1748941.0)	(40.0, 1863033.5)	(41.0, 1969458.0)	(42.0, 2172701.0)	(43.0, 2259815.5)	(44.0, 2238290.5)	(45.0, 2329995.5)	(46.0, 2436899.5)	(47.0, 2471091.0)	(48.0, 2470193.0)	(49.0, 2427725.5)	(50.0, 2448019.5)	(51.0, 2492800.5)	(52.0, 2506013.5)	(53.0, 2508532.0)	(54.0, 2534578.0)	(55.0, 2701080.5)	(56.0, 2813429.0)	(57.0, 2937276.5)	(58.0, 2994368.5)	(59.0, 2820454.5)	(60.0, 2697504.5)	(61.0, 2562464.0)	(62.0, 2407686.0)	(63.0, 2122011.0)	(64.0, 1841550.0)	(65.0, 1752387.5)	(66.0, 1427980.0)	(67.0, 1269433.5)	(68.0, 1315550.0)	(69.0, 1116152.0)	(70.0, 765280.5)	(71.0, 557825.5)	(72.0, 552697.0)	(73.0, 487404.0)	(74.0, 440752.5)	(75.0, 452316.0)	(76.0, 501858.5)	(77.0, 463855.5)	(78.0, 327871.0)	(79.0, 303217.0)	(80.0, 333472.5)	(81.0, 289585.0)	(82.0, 181948.0)	(83.0, 128955.0)	(84.0, 139925.0)	(85.0, 157075.5)	(86.0, 126837.5)	(87.0, 71574.0)	(88.0, 65289.5)	(89.0, 60997.5)	(90.0, 36274.5)	(91.0, 11926.5)	(92.0, 7104.0)	(93.0, 5351.5)	(94.0, 2947.5)	(95.0, 1746.0)	(96.0, 1355.5)	(97.0, 1214.5)	(98.0, 1160.0)	(99.0, 1625.5)	(100.0, 2052.0)
qc_output | SRR8668771_filtered	(0.0, 861.0)	(1.0, 685.0)	(2.0, 602.5)	(3.0, 718.0)	(4.0, 764.5)	(5.0, 859.0)	(6.0, 959.5)	(7.0, 1036.5)	(8.0, 1165.0)	(9.0, 1366.5)	(10.0, 1647.0)	(11.0, 1999.5)	(12.0, 2323.5)	(13.0, 2805.0)	(14.0, 3838.0)	(15.0, 5286.0)	(16.0, 6606.5)	(17.0, 8763.0)	(18.0, 13441.5)	(19.0, 19734.5)	(20.0, 25408.0)	(21.0, 35272.5)	(22.0, 54170.5)	(23.0, 74194.5)	(24.0, 89089.5)	(25.0, 117650.0)	(26.0, 168526.0)	(27.0, 222356.5)	(28.0, 264004.5)	(29.0, 336704.5)	(30.0, 456806.5)	(31.0, 582674.5)	(32.0, 676129.5)	(33.0, 799969.0)	(34.0, 999634.5)	(35.0, 1191651.5)	(36.0, 1309681.5)	(37.0, 1435055.0)	(38.0, 1591575.5)	(39.0, 1743585.5)	(40.0, 1858134.0)	(41.0, 1964637.5)	(42.0, 2167603.5)	(43.0, 2254897.5)	(44.0, 2233331.5)	(45.0, 2324271.0)	(46.0, 2430601.0)	(47.0, 2464431.5)	(48.0, 2462669.0)	(49.0, 2420870.0)	(50.0, 2442934.5)	(51.0, 2488820.5)	(52.0, 2501830.0)	(53.0, 2503718.5)	(54.0, 2529585.0)	(55.0, 2695080.0)	(56.0, 2806960.5)	(57.0, 2931274.5)	(58.0, 2988635.5)	(59.0, 2814075.0)	(60.0, 2689115.0)	(61.0, 2554767.5)	(62.0, 2403968.0)	(63.0, 2120885.0)	(64.0, 1837667.0)	(65.0, 1746063.5)	(66.0, 1423762.0)	(67.0, 1266529.5)	(68.0, 1312479.0)	(69.0, 1113349.5)	(70.0, 763201.0)	(71.0, 555368.5)	(72.0, 549895.5)	(73.0, 484877.0)	(74.0, 437740.0)	(75.0, 448664.0)	(76.0, 497528.0)	(77.0, 459520.5)	(78.0, 325577.5)	(79.0, 300359.0)	(80.0, 330984.0)	(81.0, 288826.0)	(82.0, 180861.0)	(83.0, 127622.5)	(84.0, 137412.0)	(85.0, 153548.5)	(86.0, 125323.5)	(87.0, 74876.5)	(88.0, 69874.5)	(89.0, 63264.5)	(90.0, 37430.5)	(91.0, 13819.0)	(92.0, 8355.5)	(93.0, 5303.5)	(94.0, 2840.5)	(95.0, 1646.0)	(96.0, 1041.0)	(97.0, 693.0)	(98.0, 425.5)	(99.0, 234.5)	(100.0, 181.0)
qc_output | SRR8668772	(0.0, 9135.0)	(1.0, 4807.0)	(2.0, 445.0)	(3.0, 470.5)	(4.0, 529.5)	(5.0, 583.5)	(6.0, 656.0)	(7.0, 822.0)	(8.0, 978.5)	(9.0, 1275.5)	(10.0, 1914.5)	(11.0, 2829.0)	(12.0, 3434.0)	(13.0, 4360.5)	(14.0, 6519.5)	(15.0, 8795.0)	(16.0, 10868.0)	(17.0, 15228.0)	(18.0, 24177.5)	(19.0, 36419.0)	(20.0, 47719.0)	(21.0, 66316.5)	(22.0, 101839.0)	(23.0, 143526.0)	(24.0, 178536.5)	(25.0, 248861.5)	(26.0, 370423.5)	(27.0, 481475.5)	(28.0, 562764.0)	(29.0, 696730.5)	(30.0, 895170.0)	(31.0, 1075420.5)	(32.0, 1193908.0)	(33.0, 1332860.5)	(34.0, 1536384.5)	(35.0, 1726626.5)	(36.0, 1835288.0)	(37.0, 1927069.0)	(38.0, 2042443.0)	(39.0, 2154120.0)	(40.0, 2248542.5)	(41.0, 2311529.0)	(42.0, 2408338.0)	(43.0, 2447703.0)	(44.0, 2428349.0)	(45.0, 2482139.0)	(46.0, 2556019.5)	(47.0, 2649020.5)	(48.0, 2717009.5)	(49.0, 2555539.0)	(50.0, 2412205.0)	(51.0, 2413201.0)	(52.0, 2373113.0)	(53.0, 2331157.5)	(54.0, 2312140.5)	(55.0, 2436469.0)	(56.0, 2518030.0)	(57.0, 2682615.0)	(58.0, 2876960.0)	(59.0, 2675122.5)	(60.0, 2473696.5)	(61.0, 2484895.0)	(62.0, 2421411.5)	(63.0, 1964124.5)	(64.0, 1521744.5)	(65.0, 1465821.0)	(66.0, 1230177.5)	(67.0, 1082772.0)	(68.0, 1106056.5)	(69.0, 999261.0)	(70.0, 773113.5)	(71.0, 472293.5)	(72.0, 368839.0)	(73.0, 350278.5)	(74.0, 339441.5)	(75.0, 353499.0)	(76.0, 363565.5)	(77.0, 320476.0)	(78.0, 303453.0)	(79.0, 353335.5)	(80.0, 385799.0)	(81.0, 322816.5)	(82.0, 196642.0)	(83.0, 213353.5)	(84.0, 287814.5)	(85.0, 310432.0)	(86.0, 207322.0)	(87.0, 98574.5)	(88.0, 116515.5)	(89.0, 113213.5)	(90.0, 62438.0)	(91.0, 12795.5)	(92.0, 6981.5)	(93.0, 5397.5)	(94.0, 3585.0)	(95.0, 2634.5)	(96.0, 2357.0)	(97.0, 2125.0)	(98.0, 1829.5)	(99.0, 2018.0)	(100.0, 2306.0)
qc_output | SRR8668772_filtered	(0.0, 1875.0)	(1.0, 1289.0)	(2.0, 816.5)	(3.0, 964.0)	(4.0, 1047.5)	(5.0, 1154.5)	(6.0, 1224.5)	(7.0, 1336.5)	(8.0, 1519.5)	(9.0, 1802.0)	(10.0, 2154.5)	(11.0, 2668.0)	(12.0, 3230.0)	(13.0, 4056.0)	(14.0, 5664.0)	(15.0, 7628.5)	(16.0, 9589.0)	(17.0, 13352.5)	(18.0, 21262.5)	(19.0, 32815.5)	(20.0, 44003.5)	(21.0, 61950.0)	(22.0, 96520.0)	(23.0, 137850.5)	(24.0, 172672.0)	(25.0, 242498.0)	(26.0, 363162.5)	(27.0, 473549.5)	(28.0, 554925.0)	(29.0, 688811.5)	(30.0, 886376.5)	(31.0, 1065845.5)	(32.0, 1184499.5)	(33.0, 1323704.5)	(34.0, 1526886.0)	(35.0, 1716988.5)	(36.0, 1826183.5)	(37.0, 1918388.5)	(38.0, 2033309.0)	(39.0, 2144943.0)	(40.0, 2240137.5)	(41.0, 2303463.5)	(42.0, 2400089.0)	(43.0, 2439472.5)	(44.0, 2420157.5)	(45.0, 2472894.5)	(46.0, 2546264.0)	(47.0, 2640993.0)	(48.0, 2710938.0)	(49.0, 2549812.5)	(50.0, 2406076.0)	(51.0, 2406971.5)	(52.0, 2366812.0)	(53.0, 2325187.0)	(54.0, 2306195.5)	(55.0, 2429848.5)	(56.0, 2511732.5)	(57.0, 2677070.0)	(58.0, 2871270.5)	(59.0, 2669379.5)	(60.0, 2467504.0)	(61.0, 2479308.0)	(62.0, 2417524.0)	(63.0, 1960974.5)	(64.0, 1517969.0)	(65.0, 1460900.0)	(66.0, 1226278.5)	(67.0, 1079639.0)	(68.0, 1102775.0)	(69.0, 996559.0)	(70.0, 770499.0)	(71.0, 470190.5)	(72.0, 368694.0)	(73.0, 351421.5)	(74.0, 338883.0)	(75.0, 349956.5)	(76.0, 358602.0)	(77.0, 316621.5)	(78.0, 303854.5)	(79.0, 354038.0)	(80.0, 382804.0)	(81.0, 319994.5)	(82.0, 195595.0)	(83.0, 212560.5)	(84.0, 286154.5)	(85.0, 305958.0)	(86.0, 203386.5)	(87.0, 99427.5)	(88.0, 118987.5)	(89.0, 114226.0)	(90.0, 62748.5)	(91.0, 13705.5)	(92.0, 7463.5)	(93.0, 5283.5)	(94.0, 3522.5)	(95.0, 2367.0)	(96.0, 1600.0)	(97.0, 1196.0)	(98.0, 794.0)	(99.0, 513.5)	(100.0, 469.0)
qc_output | SRR8668773	(0.0, 9730.0)	(1.0, 5138.0)	(2.0, 470.5)	(3.0, 480.0)	(4.0, 565.5)	(5.0, 598.5)	(6.0, 667.5)	(7.0, 813.5)	(8.0, 934.0)	(9.0, 1199.0)	(10.0, 1861.5)	(11.0, 2785.0)	(12.0, 3331.5)	(13.0, 4168.5)	(14.0, 6259.5)	(15.0, 8466.0)	(16.0, 10282.0)	(17.0, 13759.0)	(18.0, 20998.5)	(19.0, 30019.0)	(20.0, 37985.5)	(21.0, 52228.5)	(22.0, 79964.0)	(23.0, 108982.0)	(24.0, 129621.5)	(25.0, 175646.5)	(26.0, 259345.0)	(27.0, 341837.0)	(28.0, 404944.5)	(29.0, 524015.5)	(30.0, 713713.0)	(31.0, 898835.5)	(32.0, 1029561.5)	(33.0, 1190759.0)	(34.0, 1439362.5)	(35.0, 1675009.0)	(36.0, 1816640.5)	(37.0, 1950769.0)	(38.0, 2117710.0)	(39.0, 2287762.0)	(40.0, 2422583.0)	(41.0, 2506300.0)	(42.0, 2609786.0)	(43.0, 2655319.5)	(44.0, 2647534.5)	(45.0, 2641086.5)	(46.0, 2658658.0)	(47.0, 2723550.5)	(48.0, 2766265.0)	(49.0, 2684916.5)	(50.0, 2572726.0)	(51.0, 2529452.0)	(52.0, 2501648.0)	(53.0, 2505550.5)	(54.0, 2547051.0)	(55.0, 2715687.0)	(56.0, 2827815.0)	(57.0, 3021145.0)	(58.0, 3242645.0)	(59.0, 3074026.5)	(60.0, 2890167.0)	(61.0, 2800911.5)	(62.0, 2617049.5)	(63.0, 2127822.5)	(64.0, 1659381.0)	(65.0, 1587729.0)	(66.0, 1369778.5)	(67.0, 1184289.5)	(68.0, 1130727.0)	(69.0, 1002668.0)	(70.0, 768115.5)	(71.0, 458924.5)	(72.0, 351192.0)	(73.0, 311550.0)	(74.0, 265172.0)	(75.0, 219583.0)	(76.0, 189839.0)	(77.0, 171016.5)	(78.0, 173535.0)	(79.0, 204251.5)	(80.0, 214343.0)	(81.0, 170461.0)	(82.0, 104426.5)	(83.0, 117056.5)	(84.0, 155188.5)	(85.0, 160051.0)	(86.0, 103762.5)	(87.0, 43725.5)	(88.0, 46436.5)	(89.0, 43610.0)	(90.0, 24352.5)	(91.0, 7688.0)	(92.0, 4356.5)	(93.0, 3248.0)	(94.0, 2068.5)	(95.0, 1455.0)	(96.0, 1291.5)	(97.0, 1201.0)	(98.0, 1182.5)	(99.0, 1689.5)	(100.0, 2152.0)
qc_output | SRR8668773_filtered	(0.0, 2127.0)	(1.0, 1442.0)	(2.0, 821.5)	(3.0, 922.5)	(4.0, 1005.0)	(5.0, 1112.5)	(6.0, 1235.0)	(7.0, 1357.5)	(8.0, 1502.0)	(9.0, 1721.0)	(10.0, 2011.5)	(11.0, 2545.5)	(12.0, 3113.0)	(13.0, 3786.0)	(14.0, 5178.0)	(15.0, 6919.5)	(16.0, 8595.5)	(17.0, 11519.0)	(18.0, 17528.5)	(19.0, 25733.5)	(20.0, 33572.5)	(21.0, 47247.0)	(22.0, 73880.5)	(23.0, 102274.5)	(24.0, 122968.0)	(25.0, 168495.5)	(26.0, 251046.5)	(27.0, 332835.0)	(28.0, 396013.0)	(29.0, 514811.5)	(30.0, 703804.5)	(31.0, 888305.5)	(32.0, 1019234.5)	(33.0, 1180950.0)	(34.0, 1429124.0)	(35.0, 1664193.5)	(36.0, 1806266.5)	(37.0, 1940978.0)	(38.0, 2107661.5)	(39.0, 2277436.0)	(40.0, 2412549.0)	(41.0, 2496689.0)	(42.0, 2600250.0)	(43.0, 2646010.0)	(44.0, 2638471.0)	(45.0, 2632321.5)	(46.0, 2650072.0)	(47.0, 2715250.5)	(48.0, 2758265.5)	(49.0, 2676950.5)	(50.0, 2565104.5)	(51.0, 2522144.0)	(52.0, 2494738.0)	(53.0, 2498982.0)	(54.0, 2540187.5)	(55.0, 2708632.0)	(56.0, 2821634.5)	(57.0, 3015542.5)	(58.0, 3236706.0)	(59.0, 3067794.5)	(60.0, 2882846.0)	(61.0, 2793397.5)	(62.0, 2611599.5)	(63.0, 2124319.5)	(64.0, 1655523.0)	(65.0, 1582747.5)	(66.0, 1365444.0)	(67.0, 1180956.0)	(68.0, 1128099.0)	(69.0, 1000829.0)	(70.0, 767008.0)	(71.0, 458259.5)	(72.0, 350788.0)	(73.0, 311607.0)	(74.0, 264328.0)	(75.0, 217262.5)	(76.0, 187000.0)	(77.0, 168550.0)	(78.0, 172933.5)	(79.0, 203812.0)	(80.0, 212558.5)	(81.0, 168818.0)	(82.0, 103579.0)	(83.0, 116494.0)	(84.0, 154162.0)	(85.0, 157735.5)	(86.0, 101531.5)	(87.0, 43706.5)	(88.0, 47368.0)	(89.0, 43996.5)	(90.0, 24427.5)	(91.0, 7903.0)	(92.0, 4223.5)	(93.0, 2734.5)	(94.0, 1631.0)	(95.0, 1022.5)	(96.0, 676.5)	(97.0, 453.0)	(98.0, 279.0)	(99.0, 172.0)	(100.0, 139.0)
qc_output | SRR8668774	(0.0, 134114.0)	(1.0, 68898.0)	(2.0, 3218.0)	(3.0, 2940.0)	(4.0, 3124.0)	(5.0, 3191.0)	(6.0, 3251.0)	(7.0, 3430.5)	(8.0, 3644.0)	(9.0, 3991.0)	(10.0, 5011.5)	(11.0, 6919.5)	(12.0, 8245.5)	(13.0, 10364.5)	(14.0, 16232.5)	(15.0, 23414.0)	(16.0, 29899.5)	(17.0, 43789.0)	(18.0, 74562.5)	(19.0, 122027.0)	(20.0, 168492.5)	(21.0, 225562.5)	(22.0, 338876.0)	(23.0, 475975.0)	(24.0, 580289.5)	(25.0, 770336.5)	(26.0, 1085579.0)	(27.0, 1358772.5)	(28.0, 1552529.5)	(29.0, 1841030.0)	(30.0, 2235152.0)	(31.0, 2579278.5)	(32.0, 2792731.5)	(33.0, 3021136.5)	(34.0, 3346445.0)	(35.0, 3646787.5)	(36.0, 3830880.0)	(37.0, 3986566.0)	(38.0, 4196183.0)	(39.0, 4425342.0)	(40.0, 4596558.0)	(41.0, 4750839.5)	(42.0, 5060144.0)	(43.0, 5109456.0)	(44.0, 4937772.5)	(45.0, 4961919.5)	(46.0, 5129528.0)	(47.0, 5030463.0)	(48.0, 4832035.0)	(49.0, 4707280.0)	(50.0, 4583513.5)	(51.0, 4587558.0)	(52.0, 4606738.0)	(53.0, 4581518.5)	(54.0, 4531821.5)	(55.0, 4797703.0)	(56.0, 5028790.0)	(57.0, 5141549.0)	(58.0, 5237076.0)	(59.0, 4934945.5)	(60.0, 4646712.0)	(61.0, 4765783.5)	(62.0, 4631703.0)	(63.0, 3772014.5)	(64.0, 3101070.5)	(65.0, 2869220.5)	(66.0, 2369196.5)	(67.0, 2090569.0)	(68.0, 2022803.0)	(69.0, 1735295.0)	(70.0, 1287288.5)	(71.0, 911059.0)	(72.0, 829566.5)	(73.0, 767985.0)	(74.0, 646850.5)	(75.0, 579199.5)	(76.0, 590887.0)	(77.0, 549031.5)	(78.0, 452270.0)	(79.0, 390594.5)	(80.0, 370847.0)	(81.0, 317721.5)	(82.0, 210250.0)	(83.0, 133107.5)	(84.0, 115652.5)	(85.0, 96689.5)	(86.0, 65755.5)	(87.0, 41080.5)	(88.0, 31990.0)	(89.0, 28903.0)	(90.0, 23207.0)	(91.0, 18954.0)	(92.0, 17207.0)	(93.0, 15428.0)	(94.0, 12420.5)	(95.0, 10532.5)	(96.0, 9812.5)	(97.0, 9381.5)	(98.0, 10441.0)	(99.0, 9539.5)	(100.0, 7525.0)
qc_output | SRR8668774_filtered	(0.0, 4216.0)	(1.0, 4335.0)	(2.0, 4183.0)	(3.0, 3942.0)	(4.0, 4048.5)	(5.0, 4216.5)	(6.0, 4349.0)	(7.0, 4640.0)	(8.0, 5095.0)	(9.0, 5616.5)	(10.0, 6473.0)	(11.0, 8075.0)	(12.0, 9639.5)	(13.0, 11984.5)	(14.0, 17286.0)	(15.0, 24115.0)	(16.0, 30744.5)	(17.0, 43774.0)	(18.0, 72697.0)	(19.0, 119091.0)	(20.0, 165621.5)	(21.0, 221389.5)	(22.0, 331813.0)	(23.0, 466676.5)	(24.0, 570709.0)	(25.0, 760089.0)	(26.0, 1071810.0)	(27.0, 1342347.0)	(28.0, 1536201.5)	(29.0, 1823113.0)	(30.0, 2212762.0)	(31.0, 2553468.5)	(32.0, 2767674.0)	(33.0, 2996302.0)	(34.0, 3318174.0)	(35.0, 3614971.5)	(36.0, 3799462.5)	(37.0, 3955860.0)	(38.0, 4163132.5)	(39.0, 4390502.5)	(40.0, 4562973.5)	(41.0, 4717694.5)	(42.0, 5024058.5)	(43.0, 5069614.0)	(44.0, 4895664.0)	(45.0, 4909819.5)	(46.0, 5063250.5)	(47.0, 5009872.5)	(48.0, 4909108.0)	(49.0, 4807441.5)	(50.0, 4676494.0)	(51.0, 4711101.5)	(52.0, 4768675.5)	(53.0, 4863756.0)	(54.0, 4988276.5)	(55.0, 5321638.5)	(56.0, 5653497.5)	(57.0, 5525832.0)	(58.0, 4863180.0)	(59.0, 4255114.0)	(60.0, 4038281.5)	(61.0, 4394968.0)	(62.0, 4541137.5)	(63.0, 3684092.5)	(64.0, 2989995.5)	(65.0, 2589522.5)	(66.0, 2093812.5)	(67.0, 1796471.0)	(68.0, 1649477.5)	(69.0, 1459448.5)	(70.0, 1111546.5)	(71.0, 866217.5)	(72.0, 811673.0)	(73.0, 753527.0)	(74.0, 640170.5)	(75.0, 576469.5)	(76.0, 586815.5)	(77.0, 543413.5)	(78.0, 450240.5)	(79.0, 390901.0)	(80.0, 367394.5)	(81.0, 310003.5)	(82.0, 200435.5)	(83.0, 123263.0)	(84.0, 103430.5)	(85.0, 86791.5)	(86.0, 60987.5)	(87.0, 38285.5)	(88.0, 28805.0)	(89.0, 24311.0)	(90.0, 18800.0)	(91.0, 14804.5)	(92.0, 12209.5)	(93.0, 9006.5)	(94.0, 6137.5)	(95.0, 4800.0)	(96.0, 4243.5)	(97.0, 4570.5)	(98.0, 4890.5)	(99.0, 2627.5)	(100.0, 483.0)
